HH_ID,AGE_REF,FAM_SIZE,BLS_URBN,REGION,CUTENURE,VEHQ,FINLWT21,TOTEXPCQ,HOUSCQ,TRANSCQ,FOODCQ,HEALTHCQ,ENTERTCQ,MORTGAGE_QTR
0421487,68,2,1,3.0,1,3,20883.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421488,59,2,1,4.0,4,2,31750.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421489,39,1,1,,4,0,18108.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421494,49,1,1,2.0,4,1,34397.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421495,28,1,1,4.0,4,1,23581.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421496,62,2,1,1.0,4,0,23875.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421497,32,2,1,4.0,4,2,39457.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421499,43,3,1,3.0,1,3,46303.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421503,30,3,2,4.0,1,2,64840.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421505,65,1,1,3.0,1,1,33021.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421508,36,7,2,2.0,1,4,47679.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421514,64,1,1,4.0,4,1,13091.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421515,59,1,1,4.0,1,3,11571.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421517,72,2,1,3.0,1,1,29630.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421519,45,3,1,4.0,4,0,31416.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421521,52,2,1,4.0,4,1,17855.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421526,75,1,1,1.0,4,0,23517.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421528,32,3,1,4.0,4,1,18639.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421530,35,6,1,3.0,1,2,23260.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421531,54,3,1,3.0,1,2,36212.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421534,61,2,1,1.0,2,2,23673.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421535,57,1,1,3.0,1,4,31767.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421536,68,2,1,4.0,4,1,26082.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421537,44,4,1,4.0,1,1,14359.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421538,53,1,1,4.0,4,1,25876.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421541,87,1,1,2.0,4,0,23337.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421542,55,1,1,4.0,1,1,18895.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421544,54,4,1,3.0,2,4,34540.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421545,39,3,1,1.0,4,0,25550.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421547,69,2,1,3.0,1,2,38278.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421548,63,1,1,3.0,2,1,30077.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421549,36,5,1,1.0,1,0,23193.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421553,73,2,1,3.0,2,2,39278.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421554,43,3,1,4.0,1,1,17879.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421567,30,4,1,2.0,4,1,18702.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421572,64,1,1,2.0,1,0,15302.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421576,82,2,1,2.0,2,2,18031.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421579,66,1,1,2.0,1,1,24129.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421580,66,1,1,4.0,2,1,23347.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421581,63,1,1,3.0,2,1,35847.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421582,50,4,1,3.0,1,2,15893.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421587,34,2,1,3.0,4,0,46528.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421588,35,4,1,1.0,1,1,34416.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421590,63,2,1,,2,3,25950.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421591,59,2,1,4.0,1,3,10362.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421592,45,3,1,3.0,1,3,53785.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421596,74,1,1,3.0,2,2,20193.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421597,37,2,1,1.0,4,1,28514.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421598,66,3,1,3.0,2,3,24074.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421599,25,2,1,1.0,4,0,99054.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421601,36,1,1,1.0,4,0,30681.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421606,50,4,1,3.0,1,3,15893.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421607,67,2,1,3.0,2,3,15279.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421608,58,2,1,3.0,4,2,32177.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0421609,60,2,1,3.0,2,2,27253.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
