QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20202,04214874,1,0,1,120,D,1,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214994,1,0,1,160,D,1,D,01,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215084,1,0,2,140,D,1,D,01,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215374,1,0,1,195,D,1,D,01,D,1200,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,1,0,1,180,D,1,D,01,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216984,1,0,2,120,D,1,D,01,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,1,0,1,140,D,1,D,01,D,440,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217424,1,0,1,120,D,1,D,02,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218224,1,0,1,140,D,3,D,03,D,328,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220164,1,0,1,195,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220324,1,0,1,220,D,1,D,02,D,,H,,A,,A,220,D,120,D,,A,,A,,A,,A,,A,,A,,A
20202,04220324,1,1,1,120,D,1,D,02,D,79,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220974,1,0,1,140,D,1,D,03,D,1037,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221754,1,0,1,120,D,1,D,01,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221824,1,0,1,140,D,1,D,01,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221824,2,0,1,195,D,1,D,01,D,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222144,1,0,1,195,D,1,D,02,D,640,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222344,1,0,1,100,D,3,D,01,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222554,1,0,1,140,D,1,D,03,D,1600,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223474,10,0,1,180,D,1,D,01,D,398,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223824,1,0,1,140,D,1,D,02,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223844,1,0,1,120,D,1,D,01,D,1310,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224114,1,0,2,120,D,1,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224204,1,0,1,120,D,1,D,01,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224484,1,0,1,195,D,1,D,01,D,1735,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225094,1,0,1,120,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226234,1,0,1,120,D,1,D,02,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226584,1,0,1,140,D,1,D,03,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226584,2,0,1,100,D,1,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226774,1,0,2,140,D,1,D,02,D,1532,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226864,1,0,1,120,D,1,D,04,D,293,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226864,2,0,1,100,D,1,D,04,D,455,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226914,1,0,2,140,D,1,D,02,D,428,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227524,1,0,1,140,D,1,D,03,D,142,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227524,2,0,1,195,D,1,D,03,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228094,1,0,1,140,D,1,D,03,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228634,1,0,1,195,D,1,D,03,D,400,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228804,1,0,1,140,D,1,D,04,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228834,1,0,1,195,D,1,D,02,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228854,1,0,1,120,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229724,1,0,1,195,D,1,D,04,D,1484,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230074,1,0,1,100,D,1,D,04,D,143,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230274,1,0,1,140,D,1,D,02,D,5700,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230494,1,0,1,140,D,1,D,04,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230514,1,0,2,220,D,1,D,02,D,,H,,A,,A,220,D,195,D,,A,,A,,A,,A,,A,,A,,A
20202,04230514,1,1,2,100,D,1,D,02,D,283,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230514,1,2,2,140,D,1,D,02,D,708,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230514,1,3,2,195,D,1,D,02,D,209,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230594,1,0,1,195,D,1,D,04,D,1030,D,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230734,1,0,1,100,D,1,D,03,D,679,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04231034,1,0,1,220,D,1,D,03,D,,H,,A,,A,160,D,140,D,,A,,A,,A,,A,,A,,A,,A
20202,04231034,1,1,1,140,D,1,D,03,D,2706,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04231844,1,0,2,120,D,1,D,02,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232084,1,0,1,120,D,1,D,03,D,279,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232174,1,0,1,160,D,1,D,03,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232544,1,0,1,100,D,1,D,04,D,372,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232814,1,0,1,120,D,1,D,02,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233314,1,0,1,120,D,1,D,04,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233874,1,0,1,220,D,1,D,04,D,,H,,A,,A,160,D,140,D,,A,,A,,A,,A,,A,,A,,A
20202,04233874,1,1,1,160,D,1,D,04,D,1041,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233874,1,2,1,140,D,1,D,04,D,359,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04234614,1,0,1,195,D,3,D,03,D,1300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04234644,1,0,1,100,D,1,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04234874,1,0,1,140,D,1,D,02,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04234874,2,0,1,140,D,1,D,03,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04234874,3,0,1,140,D,1,D,04,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235194,1,0,1,195,D,1,D,03,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235264,1,0,1,120,D,1,D,04,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235274,1,0,1,140,D,1,D,04,D,1500,D,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235804,1,0,1,100,D,1,D,03,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236764,1,0,2,140,D,1,D,03,D,2889,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236764,2,0,2,160,D,1,D,03,D,803,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04237884,1,0,1,195,D,1,D,04,D,1520,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238014,1,0,1,120,D,1,D,03,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
