QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MINAPPLY,MINA_PLY,GFTCMIN,GFTCMIN_,MIN_MO,MIN_MO_,MINPURX,MINPURX_,MINRENTX,MINR_NTX,MNAPPL1,MNAPPL1_,MNAPPL2,MNAPPL2_,MNAPPL3,MNAPPL3_,MNAPPL4,MNAPPL4_,MNAPPL5,MNAPPL5_,MNAPPL6,MNAPPL6_,MNAPPL7,MNAPPL7_,MNAPPL8,MNAPPL8_,MNAPPL9,MNAPPL9_,INSTLSCR,INST_SCR,INSTLLEX,INST_LEX
20202,04214874,2,0,1,500,D,1,D,02,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214884,1,0,1,260,D,1,D,02,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214994,19,0,1,270,D,1,D,03,D,763,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,1,0,1,640,D,1,D,01,D,249,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20202,04215154,1,0,1,645,D,1,D,03,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,1,0,1,240,D,1,D,01,D,31,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,2,0,1,645,D,1,D,03,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,3,0,1,660,D,1,D,02,D,495,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,4,0,1,660,D,1,D,02,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215194,1,0,1,700,D,1,D,03,D,362,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215194,2,0,1,320,D,1,D,03,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215284,1,0,1,550,D,1,D,03,D,149,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215344,1,0,2,365,D,1,D,01,D,325,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20202,04215354,1,0,1,645,D,1,D,03,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215354,2,0,1,540,D,1,D,03,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215374,2,0,1,270,D,1,D,02,D,206,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215374,3,0,1,650,D,1,D,01,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215374,4,0,1,365,D,1,D,03,D,5000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20202,04215374,5,0,1,440,D,1,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20202,04215374,6,0,1,470,D,1,D,02,D,174,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215374,7,0,1,510,D,1,D,01,D,194,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215384,1,0,1,230,D,1,D,02,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,1,0,1,660,D,1,D,03,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,2,0,1,480,D,1,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215534,1,0,1,460,D,1,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215674,1,0,1,700,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215804,1,0,1,230,D,1,D,02,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215804,2,0,1,330,D,1,D,03,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215874,1,0,1,640,D,1,D,01,D,2178,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20202,04215874,2,0,1,645,D,1,D,03,D,218,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215874,3,0,1,540,D,1,D,03,D,762,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215914,1,0,1,645,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216014,1,0,1,500,D,1,D,03,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216094,1,0,1,640,D,1,D,01,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20202,04216104,1,0,1,640,D,1,D,03,D,482,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20202,04216104,2,0,1,640,D,1,D,03,D,54,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20202,04216114,2,0,1,500,D,1,D,01,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216174,1,0,1,230,D,1,D,02,D,54,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216174,2,0,1,240,D,1,D,02,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216204,1,0,1,640,D,1,D,03,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20202,04216204,2,0,1,480,D,1,D,03,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216214,1,0,1,640,D,1,D,03,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20202,04216244,1,0,1,540,D,1,D,02,D,380,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216414,1,0,1,470,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216414,2,0,1,500,D,1,D,03,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216414,3,0,1,510,D,1,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216464,1,0,1,750,D,1,D,01,D,41,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216464,2,0,1,365,D,1,D,03,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20202,04216514,1,0,1,230,D,1,D,03,D,93,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216604,1,0,1,645,D,1,D,02,D,168,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216684,1,0,1,230,D,1,D,01,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216764,1,0,1,230,D,1,D,01,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216764,2,0,1,365,D,1,D,02,D,290,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20202,04216874,1,0,1,365,D,3,D,01,D,196,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20202,04216874,2,0,1,540,D,1,D,02,D,74,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
