QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX,CHCKEFT,CHCKEFT_,REBTUSED,REBT_SED
20202,04214944,1,0,1,150,D,01,D,10,D,,A,,A
20202,04214964,3,0,1,170,D,13,D,50,D,,A,,A
20202,04214974,1,0,1,150,D,13,D,100,D,,A,,A
20202,04214994,4,0,1,170,D,02,D,30,D,,A,,A
20202,04215054,2,0,1,150,D,13,D,200,D,,A,,A
20202,04215084,4,0,1,110,D,13,D,184,D,,A,,A
20202,04215154,2,0,1,170,D,03,D,100,D,,A,,A
20202,04215154,3,0,1,150,D,13,D,500,D,,A,,A
20202,04215174,9,0,1,150,D,13,D,160,D,,A,,A
20202,04215174,10,0,1,160,D,13,D,100,D,,A,,A
20202,04215174,11,0,1,160,D,13,D,19,D,,A,,A
20202,04215214,4,0,2,150,D,01,D,20,D,,A,,A
20202,04215264,1,0,1,150,D,13,D,275,D,,A,,A
20202,04215344,6,0,1,160,D,03,D,310,D,,A,,A
20202,04215354,5,0,1,100,D,01,D,1000,D,,A,,A
20202,04215354,6,0,1,100,D,01,D,2000,D,,A,,A
20202,04215354,7,0,1,120,D,13,D,3000,D,,A,,A
20202,04215354,8,0,1,130,D,01,D,100,D,,A,,A
20202,04215354,9,0,1,160,D,03,D,100,D,,A,,A
20202,04215354,10,0,1,160,D,13,D,12,D,,A,,A
20202,04215364,1,0,1,150,D,13,D,5,D,,A,,A
20202,04215384,3,0,1,150,D,01,D,20,D,,A,,A
20202,04215384,4,0,1,150,D,02,D,20,D,,A,,A
20202,04215384,5,0,2,170,D,01,D,25,D,,A,,A
20202,04215414,2,0,1,150,D,13,D,50,D,,A,,A
20202,04215424,6,0,1,170,D,01,D,2500,D,,A,,A
20202,04215424,7,0,1,170,D,02,D,200,D,,A,,A
20202,04215424,8,0,1,170,D,03,D,1150,D,,A,,A
20202,04215424,9,0,1,160,D,01,D,390,D,,A,,A
20202,04215424,10,0,1,160,D,02,D,690,D,,A,,A
20202,04215424,11,0,1,160,D,03,D,25,D,,A,,A
20202,04215534,3,0,1,150,D,13,D,204,F,,A,,A
20202,04215534,4,0,1,140,D,01,D,60,D,,A,,A
20202,04215544,7,0,1,170,D,13,D,10,D,,A,,A
20202,04215544,8,0,1,140,D,03,D,20,D,,A,,A
20202,04215544,9,0,1,160,D,03,D,60,D,,A,,A
20202,04215724,2,0,1,150,D,13,D,30,D,,A,,A
20202,04215764,6,0,1,170,D,01,D,200,D,,A,,A
20202,04215764,7,0,1,160,D,13,D,200,D,,A,,A
20202,04215764,8,0,2,170,D,01,D,200,D,,A,,A
20202,04215794,1,0,1,170,D,13,D,75,D,,A,,A
20202,04215824,1,0,1,170,D,02,D,75,D,,A,,A
20202,04215874,4,0,1,150,D,13,D,100,D,,A,,A
20202,04215884,3,0,1,150,D,13,D,170,D,,A,,A
20202,04215914,4,0,1,160,D,13,D,20,D,,A,,A
20202,04215924,1,0,1,170,D,13,D,100,D,,A,,A
20202,04215974,1,0,1,170,D,13,D,600,D,,A,,A
20202,04215974,2,0,1,160,D,13,D,10,D,,A,,A
20202,04215984,2,0,1,150,D,13,D,204,F,,A,,A
20202,04216094,2,0,1,150,D,13,D,100,D,,A,,A
20202,04216114,7,0,1,150,D,13,D,16,D,,A,,A
20202,04216114,8,0,1,160,D,13,D,8,D,,A,,A
20202,04216114,9,0,1,160,D,02,D,50,D,,A,,A
20202,04216114,10,0,1,160,D,03,D,150,D,,A,,A
20202,04216194,2,0,1,150,D,13,D,200,D,,A,,A
20202,04216214,3,0,1,170,D,03,D,200,D,,A,,A
20202,04216214,4,0,1,150,D,03,D,20,D,,A,,A
20202,04216244,2,0,1,110,D,13,D,135,D,,A,,A
20202,04216334,1,0,1,170,D,13,D,100,D,,A,,A
20202,04216334,2,0,1,150,D,13,D,3,D,,A,,A
20202,04216384,1,0,1,170,D,13,D,50,D,,A,,A
20202,04216384,2,0,1,170,D,13,D,30,D,,A,,A
20202,04216414,4,0,1,170,D,03,D,70,D,,A,,A
20202,04216544,3,0,1,150,D,13,D,300,D,,A,,A
20202,04216604,2,0,1,150,D,13,D,1000,D,,A,,A
20202,04216744,7,0,1,160,D,03,D,100,D,,A,,A
20202,04216754,1,0,1,150,D,13,D,250,D,,A,,A
20202,04216764,6,0,1,170,D,13,D,20,D,,A,,A
20202,04216764,7,0,1,110,D,13,D,900,D,,A,,A
20202,04216804,4,0,1,100,D,13,D,550,D,,A,,A
20202,04216804,5,0,1,150,D,13,D,350,D,,A,,A
20202,04216804,6,0,1,150,D,13,D,38,D,,A,,A
20202,04216814,2,0,1,170,D,02,D,500,D,,A,,A
20202,04216814,3,0,1,150,D,03,D,100,D,,A,,A
20202,04216814,4,0,2,150,D,01,D,187,D,,A,,A
20202,04216984,3,0,1,150,D,13,D,1090,D,,A,,A
20202,04216984,4,0,2,150,D,01,D,3000,D,,A,,A
20202,04217114,6,0,1,130,D,13,D,12,D,,A,,A
20202,04217294,5,0,1,100,D,13,D,600,D,,A,,A
20202,04217294,6,0,1,150,D,13,D,700,D,,A,,A
20202,04217314,2,0,1,150,D,13,D,50,D,,A,,A
20202,04217314,3,0,1,160,D,03,D,20,D,,A,,A
20202,04217374,4,0,1,150,D,13,D,110,D,,A,,A
20202,04217394,1,0,1,110,D,13,D,840,D,,A,,A
20202,04217414,1,0,1,170,D,01,D,100,D,,A,,A
20202,04217414,2,0,1,170,D,02,D,100,D,,A,,A
20202,04217414,3,0,1,150,D,13,D,120,D,,A,,A
20202,04217454,4,0,1,150,D,01,D,2000,D,,A,,A
20202,04217454,5,0,1,150,D,02,D,1525,D,,A,,A
20202,04217464,2,0,1,160,D,13,D,229,F,,A,,A
20202,04217494,1,0,1,170,D,03,D,150,D,,A,,A
20202,04217494,2,0,1,150,D,13,D,100,D,,A,,A
20202,04217514,3,0,1,150,D,13,D,650,D,,A,,A
20202,04217514,4,0,1,150,D,02,D,3000,D,,A,,A
20202,04217514,5,0,2,150,D,01,D,6400,D,,A,,A
20202,04217544,1,0,1,160,D,03,D,700,D,,A,,A
20202,04217574,1,0,1,150,D,13,D,600,D,,A,,A
20202,04217574,2,0,1,130,D,01,D,150,D,,A,,A
20202,04217574,3,0,1,160,D,13,D,10,D,,A,,A
20202,04217594,2,0,1,170,D,02,D,60,D,,A,,A
20202,04217844,4,0,1,110,D,13,D,300,D,,A,,A
20202,04217984,2,0,1,160,D,01,D,50,D,,A,,A
20202,04218014,6,0,1,150,D,13,D,500,D,,A,,A
20202,04218014,7,0,1,150,D,03,D,800,D,,A,,A
20202,04218014,8,0,1,160,D,13,D,60,D,,A,,A
20202,04218054,1,0,1,150,D,13,D,20,D,,A,,A
20202,04218084,6,0,2,170,D,01,D,150,D,,A,,A
20202,04218134,3,0,1,100,D,13,D,1000,D,,A,,A
20202,04218134,4,0,1,170,D,03,D,100,D,,A,,A
20202,04218204,2,0,1,150,D,13,D,314,F,,A,,A
20202,04218224,5,0,1,160,D,03,D,7,D,,A,,A
20202,04218354,8,0,1,170,D,02,D,100,D,,A,,A
20202,04218354,9,0,1,170,D,03,D,100,D,,A,,A
20202,04218414,3,0,1,150,D,13,D,100,D,,A,,A
20202,04218444,1,0,1,100,D,13,D,100,D,,A,,A
20202,04218464,1,0,1,150,D,13,D,750,D,,A,,A
20202,04218484,3,0,1,100,D,01,D,300,D,,A,,A
20202,04218524,3,0,1,150,D,13,D,325,D,,A,,A
20202,04218524,4,0,1,140,D,02,D,50,D,,A,,A
20202,04218614,14,0,1,100,D,03,D,150,D,,A,,A
20202,04218614,15,0,1,160,D,13,D,50,D,,A,,A
20202,04218644,7,0,1,170,D,13,D,200,D,,A,,A
20202,04218644,8,0,1,160,D,13,D,50,D,,A,,A
20202,04218724,6,0,1,100,D,02,D,40,D,,A,,A
20202,04218724,7,0,1,100,D,03,D,20,D,,A,,A
20202,04218724,8,0,2,100,D,01,D,60,D,,A,,A
20202,04218744,3,0,1,150,D,02,D,100,D,,A,,A
20202,04218894,3,0,1,170,D,13,D,130,D,,A,,A
20202,04218894,4,0,1,170,D,01,D,1000,D,,A,,A
20202,04218894,5,0,1,150,D,13,D,130,D,,A,,A
20202,04218894,6,0,1,150,D,13,D,180,D,,A,,A
20202,04218904,8,0,1,170,D,01,D,20,D,,A,,A
20202,04218904,9,0,1,170,D,03,D,20,D,,A,,A
20202,04218904,10,0,1,150,D,01,D,60,D,,A,,A
20202,04218904,11,0,1,150,D,02,D,60,D,,A,,A
20202,04218904,12,0,2,170,D,01,D,20,D,,A,,A
20202,04218934,1,0,1,140,D,01,D,30,D,,A,,A
20202,04218934,2,0,1,140,D,02,D,30,D,,A,,A
20202,04218974,2,0,1,130,D,13,D,5,D,,A,,A
20202,04218974,3,0,1,160,D,13,D,5,D,,A,,A
20202,04219014,1,0,1,150,D,13,D,314,F,,A,,A
20202,04219114,1,0,1,150,D,02,D,100,D,,A,,A
20202,04219154,5,0,1,150,D,13,D,330,D,,A,,A
20202,04219224,2,0,1,170,D,13,D,50,D,,A,,A
20202,04219224,3,0,1,160,D,13,D,200,D,,A,,A
20202,04219334,5,0,1,110,D,13,D,350,D,,A,,A
20202,04219364,3,0,1,150,D,01,D,50,D,,A,,A
20202,04219374,9,0,2,170,D,01,D,100,D,,A,,A
20202,04219694,3,0,1,150,D,13,D,100,D,,A,,A
20202,04219814,1,0,1,150,D,13,D,314,F,,A,,A
20202,04219864,2,0,1,170,D,13,D,3,D,,A,,A
20202,04219914,5,0,1,150,D,13,D,50,D,,A,,A
20202,04219924,4,0,1,140,D,01,D,50,D,,A,,A
