QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CRMCODEA,CRMC_DEA,ADVMATX,ADVMATX_,MATNSPCX,MATN_PCX,CRMCDA1,CRMCDA1_,CRMCDA2,CRMCDA2_,CRMCDA3,CRMCDA3_,CRMCDA4,CRMCDA4_,CRMCDA5,CRMCDA5_,CRMCDA6,CRMCDA6_,CRMCDA7,CRMCDA7_,CRMCDA8,CRMCDA8_,CRMCDA9,CRMCDA9_
20202,04215794,2,0,1,175,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216434,1,0,1,130,D,150,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217264,4,0,1,240,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218084,7,0,1,300,D,168,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218444,2,0,1,130,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218614,16,0,1,,A,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219394,1,0,1,140,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220584,6,0,1,175,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221354,15,0,1,300,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223834,6,0,1,175,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225394,5,0,1,235,D,800,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226024,21,0,1,175,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229154,2,0,1,300,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229354,6,0,1,175,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230074,4,0,1,,A,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230154,1,0,1,,A,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230594,5,0,1,310,D,,H,,A,175,D,200,D,,A,,A,,A,,A,,A,,A,,A
20202,04230594,5,1,1,175,D,55,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230594,5,2,1,200,D,160,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230814,8,0,1,300,D,210,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232174,12,0,1,200,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232494,4,0,1,175,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233244,1,0,1,130,D,1300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233874,8,0,1,310,D,,H,,A,175,D,200,D,,A,,A,,A,,A,,A,,A,,A
20202,04233874,8,1,1,175,D,377,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233874,8,2,1,200,D,823,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04234614,7,0,1,,A,,A,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04234824,1,0,1,175,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04234914,4,0,1,,A,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235144,3,0,1,,A,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235404,6,0,1,220,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235804,5,0,1,175,D,500,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236014,7,0,1,160,D,100,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238774,2,0,1,,A,,A,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04239694,14,0,1,310,D,,H,,A,310,D,175,D,,A,,A,,A,,A,,A,,A,,A
20202,04239694,14,1,1,175,D,40,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04239694,14,2,1,300,D,29,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04240364,8,0,1,,A,,A,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04240534,4,0,1,120,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04241734,7,0,1,140,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04242604,3,0,1,120,D,149,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04242994,2,0,1,310,D,,H,,A,300,D,175,D,,A,,A,,A,,A,,A,,A,,A
20202,04242994,2,1,1,300,D,24,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04242994,2,2,1,175,D,86,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04243204,9,0,1,,A,,A,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04244024,2,0,1,300,D,168,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04244294,1,0,1,,A,,A,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04244584,7,0,1,130,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04245044,13,0,1,,A,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04245424,9,0,1,175,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04267333,8,0,1,300,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04267793,7,0,1,260,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04268013,31,0,1,,A,,A,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04269543,2,0,1,160,D,4000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04269613,3,0,1,200,D,109,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04269693,5,0,1,175,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04271063,7,0,1,310,D,,H,,A,310,D,200,D,,A,,A,,A,,A,,A,,A,,A
20202,04271063,7,1,1,130,D,806,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04271063,7,2,1,175,D,96,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04271063,7,3,1,200,D,282,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04271063,7,4,1,235,D,80,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04271063,7,5,1,240,D,64,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04271063,7,6,1,300,D,172,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04271423,17,0,1,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04273133,1,0,1,300,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04274103,4,0,1,175,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04276773,3,0,1,140,D,320,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04277383,8,0,1,,A,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04278433,3,0,1,,A,,A,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
