QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,EDUC_AY,EDUC_AY_,EDUCGFTC,EDUC_FTC,EDSCHL_A,EDSC_L_A,EDMONTHA,EDMO_THA,EDREIMBX,EDRE_MBX,JEDUCNET,JEDU_NET,EDUC_A1,EDUC_A1_,EDUC_A2,EDUC_A2_,EDUC_A3,EDUC_A3_,EDUC_A4,EDUC_A4_,EDUC_A5,EDUC_A5_,EDUC_A6,EDUC_A6_,EDUC_A7,EDUC_A7_,EDUC_A8,EDUC_A8_,EDUC_A9,EDUC_A9_
20202,04215174,13,0,1,300,D,2,D,2,D,01,D,,A,10000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215214,5,0,1,360,D,1,D,5,D,01,D,,A,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215214,6,0,1,300,D,1,D,1,D,01,D,,A,670,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215354,12,0,1,310,D,2,D,,A,13,D,,A,2133,T,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215444,1,0,1,300,D,1,D,1,D,01,D,,A,12000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215544,10,0,1,100,D,1,D,,A,02,D,,A,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215544,11,0,2,100,D,1,D,,A,01,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215824,2,0,1,350,D,1,D,1,D,03,D,,A,375,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215984,3,0,1,360,D,1,D,2,D,13,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,11,0,1,100,D,1,D,,A,13,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216194,3,0,1,100,D,1,D,,A,02,D,,A,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216194,4,0,1,200,D,1,D,,A,13,D,,A,222,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216204,4,0,1,100,D,1,D,,A,13,D,,A,56,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216204,5,0,1,200,D,1,D,,A,01,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216274,4,0,2,300,D,1,D,2,D,01,D,,A,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216364,1,0,1,300,D,2,D,5,D,03,D,,A,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216764,10,0,1,345,D,1,D,,A,01,D,,A,293,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216764,11,0,1,345,D,1,D,,A,02,D,,A,289,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216764,12,0,1,345,D,1,D,,A,03,D,,A,289,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216764,13,0,1,200,D,1,D,,A,01,D,,A,102,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216764,14,0,1,200,D,1,D,,A,02,D,,A,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216804,10,0,2,300,D,2,D,1,D,01,D,,A,4435,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216864,3,0,1,360,D,1,D,2,D,13,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216924,2,0,1,300,D,1,D,6,D,13,D,,A,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216964,3,0,1,200,D,1,D,,A,01,D,,A,112,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216964,4,0,1,200,D,1,D,,A,02,D,,A,112,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216964,5,0,1,200,D,1,D,,A,03,D,,A,56,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217314,4,0,1,345,D,1,D,,A,03,D,,A,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
