QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,APPRPB9_
20202,04215444,2,0,1,190,D,02,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215794,3,0,1,110,D,01,D,192,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215794,4,0,1,110,D,02,D,192,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216204,6,0,1,110,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216764,15,0,1,190,D,03,D,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217194,4,0,2,140,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217294,8,0,1,110,D,01,D,54,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217294,9,0,1,110,D,02,D,54,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217294,10,0,1,110,D,03,D,54,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217294,11,0,1,190,D,03,D,484,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217594,3,0,1,200,D,03,D,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217824,3,0,1,190,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218014,12,0,2,190,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218074,13,0,1,190,D,01,D,486,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218134,5,0,1,110,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218134,6,0,1,110,D,02,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
