QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FURNPURY,FURN_URY,FURNMO,FURNMO_,FURNGFTC,FURN_FTC,FURNPURX,FURN_URX,FRNPRY1,FRNPRY1_,FRNPRY2,FRNPRY2_,FRNPRY3,FRNPRY3_,FRNPRY4,FRNPRY4_,FRNPRY5,FRNPRY5_,FRNPRY6,FRNPRY6_,FRNPRY7,FRNPRY7_,FRNPRY8,FRNPRY8_,FRNPRY9,FRNPRY9_
20202,04214874,6,0,1,141,D,03,D,1,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214884,3,0,1,197,D,02,D,1,D,,H,192,D,196,D,,A,,A,,A,,A,,A,,A,,A
20202,04214884,3,1,1,192,D,02,D,1,D,7,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214884,3,2,1,196,D,02,D,1,D,58,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214884,4,0,1,204,D,01,D,1,D,,H,201,D,200,D,,A,,A,,A,,A,,A,,A,,A
20202,04214884,4,1,1,201,D,01,D,1,D,15,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214884,4,2,1,200,D,01,D,1,D,43,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214884,5,0,1,206,D,01,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214884,6,0,1,201,D,01,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214954,4,0,1,200,D,01,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214964,4,0,1,181,D,02,D,1,D,54,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214964,5,0,1,196,D,01,D,1,D,28,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215084,6,0,1,180,D,02,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,2,0,1,205,D,01,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,14,0,1,201,D,03,D,1,D,86,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215344,7,0,2,200,D,01,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215374,17,0,1,100,D,03,D,1,D,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215374,18,0,1,173,D,02,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215374,19,0,1,200,D,03,D,1,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215374,20,0,1,214,D,03,D,1,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,12,0,1,131,D,02,D,2,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,13,0,1,196,D,01,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,14,0,1,201,D,03,D,1,D,19,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215544,12,0,1,180,D,03,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215544,13,0,1,201,D,01,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215674,3,0,1,192,D,01,D,1,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215804,4,0,1,200,D,02,D,1,D,69,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215884,4,0,1,100,D,03,D,1,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215884,5,0,1,110,D,03,D,1,D,1700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215884,6,0,1,130,D,03,D,1,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216014,2,0,1,106,D,02,D,1,D,,H,101,D,100,D,,A,,A,,A,,A,,A,,A,,A
20202,04216014,2,1,1,101,D,02,D,1,D,292,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216014,2,2,1,100,D,02,D,1,D,908,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216194,5,0,1,107,D,02,D,1,D,206,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216194,6,0,1,212,D,03,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216204,7,0,1,196,D,03,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216364,2,0,1,101,D,02,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216604,3,0,1,140,D,03,D,1,D,598,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216744,10,0,1,130,D,01,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216744,11,0,1,130,D,02,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216744,12,0,2,121,D,01,D,1,D,425,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216744,13,0,2,199,D,01,D,1,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216874,5,0,1,102,D,02,D,1,D,1643,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216874,6,0,1,130,D,02,D,2,D,986,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216964,6,0,2,100,D,01,D,1,D,1272,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216964,7,0,2,121,D,01,D,1,D,583,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216964,8,0,2,200,D,01,D,1,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216964,9,0,2,212,D,01,D,1,D,37,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
