QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FURNRNTX,FURN_NTX,REPFURNX,REPF_RNX
20202,04218774,7,0,1,,A,750,D
20202,04221264,9,0,1,,A,10,D
20202,04221854,3,0,1,420,D,,A
20202,04222364,18,0,1,,A,60,D
20202,04223704,10,0,1,,A,25,D
20202,04225214,2,0,1,120,D,,A
20202,04226214,31,0,1,,A,100,D
20202,04228634,4,0,1,,A,60,D
20202,04235604,1,0,1,60,D,,A
20202,04236254,6,0,1,,A,410,D
20202,04237644,6,0,1,921,D,,A
20202,04244584,12,0,1,560,D,,A
20202,04267793,11,0,1,,A,250,D
20202,04268763,3,0,1,,A,200,D
20202,04271123,1,0,1,270,D,,A
20202,04279263,6,0,1,,A,30,D
20202,04280134,5,0,1,366,D,,A
20202,04291573,3,0,1,1350,D,,A
20202,04297483,5,0,1,,A,12,D
20202,04298993,4,0,1,,A,6327,D
20202,04319212,36,0,1,,A,11,D
20202,04320592,13,0,1,,A,25,D
20202,04322752,15,0,1,128,D,,A
20202,04324792,4,0,1,,A,200,D
20202,04327592,8,0,1,,A,150,D
20202,04347552,18,0,1,350,D,,A
20202,04351972,10,0,1,,A,30,D
20202,04380413,14,0,1,,A,20,D
20202,04384334,7,0,1,,A,400,D
20202,04385944,8,0,1,,A,1000,D
20202,04386241,7,0,1,,A,27,D
20202,04386273,6,0,1,100,D,,A
20202,04387401,15,0,1,,A,40,D
20202,04389331,8,0,1,,A,50,D
20202,04390661,8,0,1,290,D,,A
20202,04398581,11,0,1,,A,20,D
20202,04408161,13,0,1,,A,380,D
20202,04411073,8,0,1,,A,52,D
20202,04414231,10,0,1,,A,125,D
20203,04271804,16,0,1,,A,40,D
20203,04275644,12,0,1,,A,100,D
20203,04279604,16,0,1,,A,350,D
20203,04281604,16,0,1,,A,255,D
20203,04291694,4,0,1,,A,250,D
20203,04292834,2,0,1,,A,500,D
20203,04293924,18,0,1,,A,500,D
20203,04293934,9,0,1,,A,200,D
20203,04295674,3,0,1,,A,55,D
20203,04313063,8,0,1,,A,24,D
20203,04313533,2,0,1,,A,,A
20203,04317283,23,0,1,,A,20,D
20203,04320033,12,0,1,,A,42,D
20203,04321093,8,0,1,,A,50,D
20203,04323913,24,0,1,,A,325,D
20203,04325433,11,0,1,,A,150,D
20203,04327593,10,0,1,,A,50,D
20203,04330583,1,0,1,,A,,A
20203,04344503,12,0,1,,A,30,D
20203,04346153,6,0,1,,A,50,D
20203,04346783,6,0,1,,A,90,D
20203,04350383,15,0,1,,A,120,D
20203,04350973,9,0,1,110,D,,A
20203,04380414,20,0,1,,A,35,D
20203,04380913,1,0,1,,A,,A
20203,04386274,11,0,1,72,D,,A
20203,04387652,11,0,1,,A,200,D
20203,04389032,21,0,1,,A,100,D
20203,04397892,24,0,1,,A,20,D
20203,04403692,12,0,1,,A,300,D
20203,04405432,9,0,1,,A,30,D
20203,04418092,21,0,1,,A,200,D
20203,04418594,5,0,1,165,D,,A
20203,04422311,10,0,1,,A,30,D
20203,04424764,1,0,1,,A,,A
20203,04429591,5,0,1,,A,50,D
20203,04470291,5,0,1,300,D,,A
20203,04472071,6,0,1,,A,150,D
20203,04505571,13,0,1,,A,150,D
20203,04509641,8,0,1,,A,1500,D
20203,04510061,5,0,1,,A,60,D
20203,04510721,9,0,1,,A,50,D
20203,04511781,18,0,1,250,D,,A
20203,04512521,30,0,1,,A,100,D
20204,04310864,10,0,1,,A,20,D
20204,04317024,26,0,1,,A,220,D
20204,04321274,15,0,1,,A,20,D
20204,04378043,6,0,1,,A,30,D
20204,04380254,6,0,1,45,D,,A
20204,04386893,15,0,1,,A,41,D
20204,04390023,4,0,1,,A,250,D
20204,04394064,4,0,1,80,D,,A
20204,04394573,25,0,1,,A,11,D
20204,04398913,4,0,1,,A,29,D
20204,04425512,10,0,1,,A,100,D
20204,04426612,4,0,1,210,D,,A
20204,04430292,8,0,1,,A,80,D
20204,04461992,10,0,1,,A,20,D
20204,04463442,6,0,1,,A,,A
20204,04469192,16,0,1,,A,30,D
20204,04470292,7,0,1,300,D,,A
20204,04471092,17,0,1,,A,50,D
20204,04505572,8,0,1,,A,150,D
20204,04507292,16,0,1,,A,10,D
20204,04507382,19,0,1,,A,10,D
20204,04508412,9,0,1,450,D,,A
20204,04510032,15,0,1,,A,2850,D
20204,04511682,2,0,1,,A,120,D
20204,04544911,6,0,1,,A,1800,D
20204,04546971,1,0,1,,A,,A
20204,04547691,9,0,1,,A,20,D
20204,04549931,13,0,1,400,D,,A
20204,04552781,5,0,1,675,D,,A
20204,04552851,3,0,1,480,D,,A
20204,04555391,7,0,1,,A,100,D
20204,04557131,10,0,1,,A,35,D
20204,04566301,15,0,1,5000,D,,A
20204,04567231,7,0,1,,A,200,D
20204,04567911,4,0,1,,A,130,D
20204,04570791,14,0,1,,A,140,D
20204,04571031,6,0,1,,A,60,D
20204,04572641,12,0,1,,A,100,D
20204,04578581,10,0,1,,A,600,D
20211,04379224,28,0,1,,A,473,D
20211,04383614,25,0,1,,A,105,D
20211,04385774,3,0,1,99,D,,A
20211,04394854,9,0,1,,A,50,D
20211,04403954,4,0,1,414,D,,A
20211,04408774,29,0,1,,A,20,D
20211,04411414,15,0,1,,A,750,D
20211,04423503,2,0,1,3000,D,,A
20211,04425653,6,0,1,,A,150,D
20211,04430673,1,0,1,,A,,A
20211,04464873,4,0,1,,A,150,D
20211,04469263,5,0,1,,A,600,D
20211,04471093,6,0,1,,A,50,D
20211,04505763,36,0,1,111,D,,A
20211,04509423,6,0,1,400,D,,A
20211,04510033,17,0,1,,A,311,D
20211,04513853,16,0,1,,A,60,D
20211,04514163,11,0,1,,A,900,D
20211,04544912,2,0,1,,A,1800,D
20211,04551354,2,0,1,420,D,,A
20211,04552822,22,0,1,,A,21,D
20211,04554092,1,0,1,,A,,A
20211,04563282,7,0,1,,A,130,D
20211,04564202,9,0,1,,A,,A
20211,04565922,4,0,1,,A,50,D
20211,04615861,20,0,1,,A,80,D
20211,04617671,15,0,1,,A,260,D
20211,04620141,11,0,1,500,D,,A
20211,04620911,31,0,1,,A,200,D
20211,04652651,13,0,1,,A,40,D
20211,04655711,1,0,1,,A,,A
20211,04657741,12,0,1,,A,4000,D
20211,04660061,3,0,1,,A,2000,D
20211,04663121,8,0,1,,A,300,D
20211,04679281,32,0,1,,A,25,D
20211,04680861,5,0,1,,A,25,D
20211,04683221,1,0,1,,A,,A
20211,04688451,31,0,1,,A,50,D
20211,04689651,5,0,1,90,D,,A
