QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20202,04216804,51,0,5,01,D,100,D,.0400,D,40000,D,10,D,466,D,,B,,B,,B,,B,61,D,345,D,346,D,348,D,60,D,59,D,57,D,,A,01,D,2014,D,1,D,,A,17935,D,17589,D,17243,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20202,04219584,23,0,5,01,D,100,D,.0500,F,94,F,10,F,1,F,,C,,C,,C,,C,0,F,1,F,1,F,1,F,0,F,0,F,0,F,,A,11,F,2019,F,1,F,,A,93,F,92,F,92,F,01,D,,C,,C,,C,,A,,A,,A,,C,,A
20202,04220324,16,0,5,01,D,100,D,.0544,D,30000,D,15,D,528,D,,B,,B,,B,,B,284,D,183,D,184,D,185,D,61,D,60,D,59,D,,A,04,D,2010,D,1,D,,A,13381,D,13198,D,13014,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20202,04221184,19,0,5,01,D,100,D,.0529,D,40000,D,10,D,430,D,3,D,4,D,,A,,A,0,D,260,D,261,D,262,D,140,D,139,D,138,D,,A,03,D,2018,D,2,D,,A,34154,D,33875,D,33594,D,01,D,1,D,,A,,A,400,D,400,D,400,D,1,D,2,D
20202,04225444,32,0,5,01,D,100,D,.0662,D,70000,D,19,D,542,D,,B,,B,,B,,B,2,D,403,D,405,D,407,D,137,D,135,D,133,D,,A,06,D,2005,D,1,D,,A,24856,D,24453,D,24048,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20202,04225874,13,0,5,01,D,100,D,.0500,D,75000,D,15,D,700,D,,B,,B,,B,,B,107,D,375,D,377,D,378,D,218,D,216,D,215,D,,A,04,D,2014,D,1,D,,A,52256,D,51881,D,51504,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20202,04226054,28,0,5,01,D,100,D,.0600,D,6000,D,15,D,51,D,,A,,A,,A,,A,0,D,15,D,15,D,15,D,15,D,15,D,15,D,,A,10,D,2016,D,2,D,,A,5089,D,5064,D,5038,D,01,D,1,D,,A,,A,30,D,30,D,30,D,1,D,2,D
20202,04227104,12,0,5,01,D,100,D,.0400,F,32890,F,10,F,333,F,,A,,A,,A,,A,0,F,234,F,235,F,236,F,99,F,98,F,97,F,,A,12,F,2018,F,1,F,,A,29694,F,29460,F,29225,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20202,04228224,21,0,5,01,D,100,D,.0599,D,75000,D,15,D,640,D,,B,,B,,B,,B,8,D,269,D,271,D,272,D,363,D,361,D,360,D,,A,05,D,2019,D,1,D,,A,72635,D,72365,D,72094,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20202,04228354,29,0,5,01,D,100,D,.0640,D,130000,D,15,D,1125,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,0,D,0,D,0,D,,A,11,D,2007,D,2,D,,A,33968,D,33024,D,32075,D,01,D,1,D,,A,,A,0,D,0,D,0,D,1,D,2,D
20202,04228904,31,0,5,01,D,100,D,.0400,F,32890,F,10,F,333,F,,A,,A,,A,,A,0,F,234,F,235,F,236,F,99,F,98,F,97,F,,A,12,F,2018,F,1,F,,A,29694,F,29460,F,29225,F,01,D,1,D,,A,,A,,A,,A,,A,1,D,2,D
20202,04229924,40,0,5,01,D,100,D,.0540,D,40000,D,14,D,346,D,,B,,B,,B,,B,6,D,228,D,229,D,230,D,112,D,111,D,110,D,,A,07,D,2013,D,1,D,,A,24862,D,24634,D,24405,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20202,04235124,27,0,5,01,D,100,D,.0472,D,1829,D,2,D,80,D,,A,,A,,A,,A,0,D,75,D,75,D,75,D,5,D,5,D,5,D,,A,07,D,2019,D,1,D,,A,1313,D,1238,D,1163,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20202,04235744,15,0,5,01,D,100,D,.0440,D,11336,D,4,D,258,D,,A,,A,,A,,A,0,D,251,D,251,D,252,D,7,D,7,D,6,D,,A,10,D,2016,D,1,D,,A,2030,D,1779,D,1528,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20202,04236364,20,0,5,01,D,100,D,.0440,D,100000,D,15,D,800,D,,B,,B,,B,,B,40,D,454,D,455,D,457,D,306,D,305,D,303,D,,A,12,D,2016,D,1,D,,A,83541,D,83088,D,82632,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20202,04237294,32,0,5,01,D,100,D,.0472,F,48000,F,10,F,503,F,3,F,4,F,,A,,A,0,F,32,F,32,F,32,F,18,F,18,F,18,F,,A,09,F,2019,F,2,F,,A,46737,F,46419,F,46099,F,01,D,,A,,A,,A,50,F,50,F,50,F,1,D,2,D
20202,04238604,18,0,5,01,D,100,D,.0472,D,38204,D,10,D,400,D,,A,,A,,A,,A,0,D,258,D,259,D,260,D,142,D,141,D,140,D,,A,07,D,2019,D,1,D,,A,36178,D,35921,D,35662,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20202,04240104,20,0,5,01,D,100,D,.0529,F,120000,F,10,F,1290,F,,A,,A,,A,,A,0,F,0,F,0,F,0,F,500,F,500,F,500,F,,A,11,F,2018,F,2,F,,A,120000,F,120000,F,120000,F,01,D,1,D,,A,,A,500,F,500,F,500,F,,A,2,D
20202,04240564,26,0,5,01,D,100,D,.0440,D,30000,D,15,D,600,D,,B,,B,,B,,B,372,D,163,D,163,D,164,D,65,D,65,D,64,D,,A,11,D,2012,D,1,D,,A,17771,D,17608,D,17445,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
