QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20202,04215494,8,0,5,01,D,105,D,2018,D,,A,60,D,05,D,500,D,3,D,,A,,A,2000,D,,A,,A,500,D,500,D,500,D,,A,,A,,A,2000,D,,A,D,,A,2017,D,HYU
20202,04215724,12,0,5,01,D,105,D,2019,D,,A,36,D,03,D,642,D,3,D,,A,,C,1300,D,,A,,A,642,D,642,D,642,D,,A,,A,,A,1300,D,,A,D,,A,2019,D,CAD
20202,04215814,7,0,5,01,D,105,D,2018,D,,A,60,D,10,F,792,D,3,D,,A,,A,,C,,A,,A,792,D,792,D,792,D,,A,,A,,A,,B,,A,D,,A,2018,D,TOY
20202,04215874,12,0,5,01,D,105,D,2018,D,,A,36,D,02,D,356,D,3,D,,A,,A,2000,D,,A,,A,356,D,356,D,356,D,20,D,20,D,20,D,2000,D,,A,D,,A,2018,D,SUB
20202,04215874,13,0,5,02,D,105,D,2017,D,,A,36,D,07,D,245,D,3,D,,A,1500,D,1000,D,,A,,A,245,D,245,D,245,D,,A,,A,,A,1000,D,,A,D,,A,2017,D,SUB
20202,04215994,5,0,5,01,D,105,D,2016,D,,A,48,D,08,D,270,D,3,D,,A,,A,,A,,A,,A,270,D,270,D,270,D,,A,,A,,A,,A,,A,D,,A,2016,D,CHE
20202,04216014,7,0,5,01,D,105,D,2018,D,,A,36,D,02,D,450,D,3,D,,A,,A,2300,D,,A,,A,450,D,450,D,450,D,,A,,A,,A,2300,D,,A,D,,A,2019,D,CHE
20202,04216214,13,0,5,01,D,105,D,2019,D,,A,36,D,05,D,500,D,3,D,400,D,,A,,A,,A,,A,100,D,100,D,100,D,,A,,A,,A,,A,,A,D,,A,2019,D,FOR
20202,04216214,14,0,5,02,D,105,D,2018,D,,A,24,D,02,D,600,D,3,D,,A,,A,,A,,A,03,D,600,D,600,D,600,D,,A,,A,,A,,A,395,D,D,,A,2018,D,DOD
20202,04216384,6,0,5,01,D,105,D,2018,D,,A,36,D,11,D,257,D,3,D,,A,,A,,A,,A,,A,257,D,257,D,257,D,,A,,A,,A,,A,,A,D,,A,2017,D,TOY
20202,04217374,18,0,5,01,D,105,D,2017,D,,A,36,D,04,D,178,D,3,D,,A,,A,4000,D,,A,,A,178,D,178,D,178,D,,A,,A,,A,4000,D,,A,D,,A,2017,D,HON
20202,04217574,15,0,5,01,D,105,D,2017,D,,A,36,D,09,D,300,D,3,D,,A,1000,D,,A,,A,,A,300,D,300,D,300,D,25,D,25,D,25,D,,A,,A,D,,A,2017,D,NIS
20202,04218054,7,0,1,01,D,105,D,2019,D,,A,36,D,11,D,480,D,3,D,,A,,A,,A,,A,,A,480,D,480,D,480,D,,A,,A,,A,,A,,A,D,,A,2019,D,HON
20202,04218454,13,0,5,01,D,105,D,2019,D,,A,36,D,02,D,398,D,3,D,,A,,A,1900,D,,A,,A,398,D,398,D,398,D,,A,,A,,A,1900,D,,A,D,,A,2019,D,DOD
20202,04219114,18,0,5,01,D,105,D,2017,D,,A,36,D,09,D,165,D,3,D,,A,3000,D,,A,,A,,A,165,D,165,D,165,D,,A,,A,,A,,A,,A,D,,A,2019,D,MAZ
20202,04219364,13,0,5,01,D,105,D,2018,D,,A,36,D,09,D,250,D,3,D,,A,,A,2000,D,,A,,A,250,D,250,D,250,D,,A,,A,,A,2000,D,,A,D,,A,2018,D,SUB
20202,04219964,9,0,5,01,D,105,D,2018,D,,A,36,D,06,D,290,D,3,D,,A,,A,2300,D,,A,02,D,290,D,290,D,,A,,A,,A,,A,2300,D,,A,D,,A,2018,D,JEE
20202,04219964,10,0,1,02,D,105,D,2020,D,,A,36,D,03,D,319,D,3,D,,A,,A,,A,,A,,A,,A,,A,319,D,,A,,A,,A,,A,,A,D,,A,2020,D,JEE
20202,04220514,15,0,5,01,D,105,D,2017,D,,A,42,D,06,D,520,D,3,D,,A,,A,,A,,A,,A,520,D,520,D,520,D,,A,,A,,A,,A,,A,D,,A,2017,D,LEX
20202,04220514,16,0,5,02,D,105,D,2019,D,,A,42,D,01,D,550,D,3,D,,A,,A,,A,,A,,A,550,D,550,D,550,D,,A,,A,,A,,A,,A,D,,A,2019,D,LEX
20202,04220764,24,0,5,01,D,105,D,2018,D,,A,36,D,08,D,480,D,3,D,,A,,A,5000,D,,A,,A,480,D,480,D,480,D,,A,,A,,A,5000,D,,A,D,,A,2017,D,TOY
20202,04221034,11,0,5,01,D,105,D,2017,D,,A,36,D,08,D,405,D,3,D,,A,,A,,A,,A,,A,405,D,405,D,405,D,,A,,A,,A,,A,,A,D,,A,2017,D,CAD
20202,04221034,12,0,5,02,D,105,D,2018,D,,A,24,D,03,D,220,D,3,D,,A,,A,,A,,A,,A,220,D,220,D,220,D,,A,,A,,A,,A,,A,D,,A,2019,D,CHE
20202,04221034,13,0,5,03,D,105,D,2019,D,,A,36,D,02,D,260,D,3,D,,A,,A,,A,,A,,A,260,D,260,D,260,D,,A,,A,,A,,A,,A,D,,A,2019,D,CHE
20202,04221054,20,0,5,01,D,105,D,2008,D,,A,24,D,10,D,200,D,3,D,,A,,A,,A,,A,,A,200,D,200,D,200,D,,A,,A,,A,,A,,A,D,,A,2018,D,MAZ
20202,04221184,12,0,5,01,D,105,D,2019,D,,A,36,D,02,D,423,D,3,D,,A,,A,,C,,A,,A,423,D,423,D,423,D,,A,,A,,A,,B,,A,D,,A,2018,D,HON
20202,04221204,18,0,5,01,D,105,D,2019,D,,A,36,D,06,D,400,D,3,D,,A,,A,800,D,,A,,A,400,D,400,D,400,D,,A,,A,,A,800,D,,A,D,,A,2019,D,CHR
20202,04221204,19,0,5,02,D,105,D,2018,D,,A,24,D,05,D,250,D,3,D,,A,,A,800,D,,A,,A,250,D,250,D,250,D,,A,,A,,A,800,D,,A,D,,A,2018,D,FOR
20202,04222724,16,0,5,02,D,105,D,2020,D,,A,24,D,12,D,300,D,3,D,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,,A,,A,,A,,A,D,,A,2019,D,CHE
20202,04222724,17,0,1,03,D,105,D,2020,D,,A,36,D,02,D,284,D,3,D,,A,,A,,A,,A,,A,,A,284,D,284,D,,A,,A,,A,,A,,A,D,,A,2020,D,CHE
20202,04223654,18,0,5,01,D,105,D,2019,D,,A,36,D,11,D,349,D,3,D,,A,,A,,A,,A,,A,349,D,349,D,349,D,,A,,A,,A,,A,,A,D,,A,2019,D,MAZ
20202,04223654,19,0,5,02,D,105,D,2017,D,,A,36,D,11,D,229,D,3,D,,A,4000,D,,A,,A,02,D,229,D,229,D,,A,,A,,A,,A,,A,,A,D,,A,2017,D,MAZ
20202,04223654,20,0,5,03,D,105,D,2017,D,,A,36,D,04,D,228,D,3,D,,A,4000,D,,A,,A,02,D,228,D,228,D,,A,,A,,A,,A,,A,,A,D,,A,2017,D,MAZ
20202,04223774,9,0,5,02,D,105,D,2019,D,,A,36,D,12,D,251,D,3,D,,A,,A,2500,D,,A,,A,251,D,251,D,251,D,,A,,A,,A,2500,D,,A,D,,A,2019,D,HON
20202,04223824,17,0,5,01,D,105,D,2019,D,,A,36,D,11,D,192,D,3,D,,A,,A,10000,D,,A,,A,192,D,192,D,192,D,,A,,A,,A,10000,D,,A,D,,A,2018,D,GMC
20202,04226144,11,0,1,01,D,105,D,2019,D,,A,36,D,08,D,375,D,3,D,,A,500,D,2700,D,,A,,A,375,D,375,D,375,D,,A,,A,,A,2700,D,,A,D,,A,2019,D,GMC
20202,04226774,19,0,5,01,D,105,D,2019,D,,A,36,D,07,D,316,D,3,D,,A,420,D,297,D,,A,,A,316,D,316,D,316,D,,A,,A,,A,297,D,,A,D,,A,2019,D,FOR
20202,04226984,7,0,5,01,D,105,D,2019,D,,A,36,D,03,F,400,D,3,D,,A,,A,6000,D,,A,,A,400,D,400,D,400,D,,A,,A,,A,6000,D,,A,D,,A,2019,D,DOD
20202,04227724,23,0,5,01,D,105,D,2018,D,,A,36,D,03,D,720,D,3,D,,A,,A,,A,,A,,A,720,D,720,D,720,D,,A,,A,,A,,A,,A,D,,A,2018,D,BMW
20202,04227764,16,0,5,01,D,105,D,2017,D,,A,48,D,01,D,400,D,3,D,,A,,A,,A,,A,,A,400,D,400,D,400,D,,A,,A,,A,,A,,A,D,,A,2019,D,MAZ
20202,04227934,12,0,5,01,D,105,D,2018,D,,A,36,D,09,F,,C,3,D,,A,,A,,A,,A,,A,1100,F,1100,F,1100,F,,A,,A,,A,,A,,A,D,,A,2018,D,SUB
20202,04227954,13,0,5,01,D,105,D,2018,D,,A,36,D,09,F,480,D,3,D,,A,,A,,A,,A,,A,480,D,480,D,480,D,,A,,A,,A,,A,,A,D,,A,2018,D,FOR
20202,04228094,17,0,5,02,D,105,D,2020,D,,A,36,D,11,D,350,D,3,D,,A,,A,550,D,,A,,A,350,D,350,D,350,D,,A,,A,,A,550,D,,A,D,,A,2019,D,SUB
