QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20202,04214874,18,0,1,620,D,1,D,02,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214954,9,0,2,200,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214964,11,0,1,420,D,1,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214964,12,0,1,620,D,1,D,13,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214974,9,0,1,620,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214994,17,0,1,510,D,1,D,02,D,46,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214994,18,0,1,620,D,1,D,13,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215054,12,0,1,420,D,1,D,02,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215054,13,0,1,620,D,1,D,01,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215054,14,0,1,620,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215084,16,0,1,410,D,1,D,02,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20202,04215084,17,0,1,620,D,1,D,13,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215084,18,0,1,900,D,1,D,01,D,,H,410,D,510,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215084,18,1,1,410,D,1,D,01,D,38,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215084,18,2,1,510,D,1,D,01,D,38,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215084,19,0,2,200,D,1,D,01,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215084,20,0,2,410,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20202,04215144,9,0,1,200,D,1,D,01,D,1148,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,10,0,1,420,D,1,D,02,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,11,0,1,420,D,1,D,03,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,12,0,1,620,D,1,D,01,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,13,0,1,620,D,1,D,03,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,14,0,1,620,D,1,D,02,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,15,0,1,510,D,1,D,03,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,29,0,1,200,D,1,D,02,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,30,0,1,620,D,1,D,03,D,115,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,31,0,1,620,D,1,D,13,D,1300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,32,0,1,655,D,1,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20202,04215264,7,0,1,420,D,1,D,01,D,98,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215344,18,0,1,900,D,1,D,02,D,,H,420,D,510,D,330,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215344,18,1,1,420,D,1,D,02,D,546,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215344,18,2,1,510,D,1,D,02,D,875,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215344,18,3,1,330,D,1,D,02,D,3279,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215344,19,0,1,420,D,1,D,01,D,137,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215344,20,0,1,420,D,1,D,02,D,274,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215354,21,0,1,200,D,1,D,01,D,4735,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215354,22,0,1,200,D,1,D,01,D,154,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215354,23,0,1,420,D,2,D,01,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215374,26,0,1,200,D,1,D,03,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215374,27,0,1,620,D,1,D,13,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215384,10,0,1,410,D,1,D,01,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04215414,7,0,1,420,D,1,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215414,8,0,1,420,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,23,0,1,420,D,1,D,01,D,131,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,24,0,1,420,D,1,D,03,D,256,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,25,0,1,510,D,1,D,02,D,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,26,0,1,635,D,1,D,03,D,36,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20202,04215424,27,0,1,635,D,1,D,01,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20202,04215444,10,0,1,620,D,1,D,02,D,650,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215474,7,0,1,330,D,1,D,02,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215474,8,0,1,510,D,1,D,02,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215474,9,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215484,6,0,1,620,D,1,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215544,25,0,1,120,D,1,D,01,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215544,26,0,1,120,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215544,27,0,1,330,D,1,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215674,7,0,1,120,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215724,14,0,1,110,D,1,D,01,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215724,15,0,1,110,D,1,D,02,D,42,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215724,16,0,1,420,D,1,D,02,D,77,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215724,17,0,1,520,D,1,D,13,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215724,18,0,1,620,D,1,D,13,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215724,19,0,1,620,D,2,D,13,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215794,11,0,1,510,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215794,12,0,1,620,D,1,D,03,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215804,16,0,1,620,D,1,D,03,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215804,17,0,1,620,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215874,16,0,1,900,D,1,D,01,D,,H,530,D,410,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20202,04215874,16,1,1,530,D,1,D,01,D,37,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20202,04215874,16,2,1,410,D,1,D,01,D,41,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20202,04215884,17,0,1,410,D,1,D,03,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20202,04215904,10,0,1,620,D,1,D,02,D,128,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215914,14,0,1,420,D,1,D,01,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215914,15,0,1,620,D,1,D,01,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215924,4,0,1,620,D,1,D,01,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215984,14,0,1,420,D,1,D,01,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215984,15,0,1,620,D,1,D,13,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216014,9,0,1,420,D,1,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216014,10,0,1,420,D,1,D,03,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216014,11,0,1,620,D,1,D,13,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216074,9,0,1,420,D,1,D,02,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216074,10,0,1,420,D,1,D,03,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216074,11,0,1,620,D,1,D,13,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216084,7,0,1,110,D,1,D,02,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216084,8,0,1,620,D,2,D,01,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216094,12,0,1,420,D,1,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216094,13,0,1,200,D,1,D,01,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216094,14,0,1,200,D,1,D,02,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216094,15,0,1,200,D,1,D,03,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216094,16,0,1,620,D,1,D,13,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216104,11,0,1,620,D,1,D,01,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216104,12,0,1,620,D,1,D,02,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216104,13,0,1,620,D,1,D,03,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,18,0,1,900,D,1,D,01,D,,H,330,D,530,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,18,1,1,110,D,1,D,01,D,42,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,18,2,1,120,D,1,D,01,D,93,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,18,3,1,200,D,1,D,01,D,117,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,18,4,1,330,D,1,D,01,D,184,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,18,5,1,410,D,1,D,01,D,58,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,18,6,1,420,D,1,D,01,D,29,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,18,7,1,510,D,1,D,01,D,46,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,18,8,1,520,D,1,D,01,D,9401,U,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,18,9,1,530,D,1,D,01,D,58,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,18,10,1,610,D,1,D,01,D,14,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,18,11,1,620,D,1,D,01,D,19,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,18,12,1,635,D,1,D,01,D,43,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20202,04216114,18,13,1,655,D,1,D,01,D,52,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20202,04216114,18,14,1,700,D,1,D,01,D,410,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,18,15,1,710,D,1,D,01,D,1466,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,19,0,1,410,D,1,D,01,D,215,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
