QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDRCARY,MEDR_ARY,MEDRGFTC,MEDR_FTC,MEDRMBMO,MEDR_BMO,MEDRMBX,MEDRMBX_,MEDRCY1,MEDRCY1_,MEDRCY2,MEDRCY2_,MEDRCY3,MEDRCY3_,MEDRCY4,MEDRCY4_,MEDRCY5,MEDRCY5_,MEDRCY6,MEDRCY6_,MEDRCY7,MEDRCY7_,MEDRCY8,MEDRCY8_,MEDRCY9,MEDRCY9_,MEDRPRNT,MEDR_RNT,MEDRNOUT,MEDR_OUT
20202,04216894,7,0,1,900,D,1,D,01,D,,H,620,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216894,7,1,1,620,D,1,D,01,D,21,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216894,7,2,1,110,D,1,D,01,D,179,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221184,14,0,1,420,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221674,12,0,1,530,D,1,D,02,D,575,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224484,20,0,2,610,D,1,D,01,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227364,15,0,1,510,D,1,D,04,D,517,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229644,18,0,1,200,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229644,19,0,1,200,D,1,D,04,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230334,12,0,2,420,D,1,D,02,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230444,14,0,2,620,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04231514,20,0,1,200,D,1,D,04,D,755,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235874,17,0,1,120,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236934,17,0,1,420,D,1,D,05,D,133,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238014,26,0,1,410,D,1,D,04,D,157,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20202,04238184,14,0,1,530,D,1,D,05,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238324,11,0,1,410,D,1,D,04,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20202,04238324,12,0,1,620,D,1,D,03,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238414,10,0,2,610,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238464,11,0,1,410,D,1,D,03,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20202,04238554,29,0,1,655,D,1,D,04,D,100,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20202,04238554,30,0,1,655,D,1,D,05,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20202,04239854,27,0,1,620,D,1,D,03,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04239854,28,0,1,620,D,1,D,04,D,41,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04240314,17,0,1,530,D,1,D,05,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04243184,25,0,1,410,D,1,D,05,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04243184,26,0,1,620,D,1,D,04,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04243634,38,0,1,330,D,2,D,03,D,3156,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04243634,39,0,1,330,D,2,D,04,D,3156,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04243634,40,0,1,330,D,2,D,05,D,3156,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04244404,32,0,1,330,D,1,D,05,D,3156,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04246304,40,0,2,620,D,1,D,03,D,67,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04272323,16,0,1,420,D,1,D,01,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04273033,14,0,1,620,D,1,D,01,D,447,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04275193,16,0,1,120,D,1,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04275193,17,0,1,530,D,1,D,02,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04275693,19,0,1,420,D,1,D,01,D,2075,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04277223,22,0,1,200,D,1,D,01,D,3732,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04277223,23,0,1,200,D,1,D,02,D,155,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04277223,24,0,1,200,D,1,D,03,D,312,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04279563,31,0,1,200,D,1,D,04,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04279623,3,0,1,420,D,1,D,03,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04280413,12,0,1,110,D,1,D,04,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04282533,14,0,1,420,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04282713,32,0,1,420,D,1,D,04,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04283063,21,0,2,620,D,1,D,02,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
