QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISCDE9_
20202,04214874,19,0,1,170,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214874,20,0,1,370,D,13,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214874,21,0,1,260,D,03,D,1,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214884,12,0,1,140,D,02,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214884,13,0,1,160,D,02,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214884,14,0,1,100,D,13,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214884,15,0,1,100,D,01,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214954,10,0,1,265,D,01,D,1,D,,H,250,D,260,D,240,D,,A,,A,,A,,A,,A,,A
20202,04214954,10,1,1,250,D,01,D,1,D,1695,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214954,10,2,1,260,D,01,D,1,D,3338,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214954,10,3,1,240,D,01,D,1,D,967,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214974,10,0,1,230,D,13,D,1,D,138,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214974,11,0,1,240,D,01,D,1,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214974,12,0,1,260,D,02,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214994,20,0,1,240,D,13,D,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214994,21,0,1,240,D,03,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214994,22,0,1,260,D,03,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215034,9,0,1,240,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215054,15,0,1,240,D,01,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215054,16,0,1,240,D,02,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215054,17,0,1,240,D,03,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215084,21,0,1,160,D,02,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,16,0,1,160,D,02,D,1,D,209,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,17,0,1,390,D,02,D,1,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,18,0,1,390,D,03,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215154,17,0,1,210,D,03,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215154,18,0,1,160,D,02,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215154,19,0,1,140,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,33,0,1,160,D,03,D,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,34,0,1,180,D,01,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,35,0,1,180,D,02,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,36,0,1,180,D,03,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215174,37,0,1,370,D,13,D,1,D,19,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
