QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20202,04214874,26,0,5,01,D,100,D,.0400,D,161000,D,30,D,924,D,3,D,4,D,,A,,A,155,D,258,D,258,D,259,D,511,D,511,D,510,D,,A,06,D,2017,D,1,D,012020,D,153426,D,153168,D,152910,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04214994,25,0,5,01,D,100,D,.0504,D,140000,D,30,D,1100,D,,A,4,D,,A,,A,345,D,287,D,288,D,289,D,468,D,467,D,466,D,,A,04,D,2009,D,1,D,,A,111485,D,111198,D,110910,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04215034,12,0,5,01,D,100,D,.0398,D,45000,D,15,D,600,D,3,D,4,D,,A,,A,268,D,241,D,241,D,242,D,91,D,91,D,90,D,,A,02,D,2013,D,1,D,,A,27571,D,27331,D,27090,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04215054,20,0,5,01,D,100,D,.0634,D,50000,D,30,D,462,D,,B,,B,,B,,B,151,D,106,D,107,D,107,D,205,D,204,D,204,D,,A,02,D,2007,D,1,D,,A,38803,D,38697,D,38590,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04215084,24,0,5,01,D,100,D,.0397,D,44509,D,10,D,450,D,,A,,A,,A,,A,0,D,306,D,307,D,308,D,144,D,143,D,142,D,,A,10,D,2019,D,1,D,,A,43598,D,43292,D,42985,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04215154,22,0,5,01,D,100,D,.0398,D,210000,D,30,D,1596,D,3,D,4,D,,A,,A,596,D,398,D,399,D,401,D,602,D,601,D,599,D,,A,03,D,2013,D,1,D,,A,181454,D,181056,D,180656,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04215174,45,0,5,01,D,100,D,.0400,D,143574,D,15,D,1410,D,3,D,4,D,,A,,A,348,D,649,D,651,D,653,D,413,D,411,D,409,D,,A,05,D,2017,D,1,D,,A,123907,D,123258,D,122607,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04215304,15,0,5,01,D,100,D,.0397,D,350000,D,30,D,1900,D,3,D,4,D,,A,,A,235,D,528,D,529,D,531,D,1137,D,1136,D,1134,D,,A,01,D,2019,D,1,D,,A,343803,D,343275,D,342746,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04215314,14,0,5,01,D,100,D,.0430,D,151000,D,30,D,1578,D,3,D,4,D,,A,,A,831,D,264,D,265,D,265,D,483,D,482,D,482,D,,A,04,D,2014,D,1,D,,A,134914,D,134650,D,134386,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04215354,27,0,5,01,D,100,D,.0397,D,147253,D,20,D,1154,D,3,D,4,D,,A,,A,264,D,,A,,A,403,D,,A,,A,487,D,,A,03,D,2020,D,1,D,032020,D,,A,,A,147253,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
