QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20202,04214874,24,0,5,01,D,100,D,,A,3,D,,B,1979,D,,A,,A,,A,0,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04214874,25,0,5,02,D,300,D,,A,1,D,,B,1981,D,,A,,A,,A,1200,F,1,D,1,D,2,D,,A,,A,,A,,A,,A,1,D
20202,04214994,24,0,5,01,D,100,D,,A,3,D,,B,2007,D,,A,,A,,A,3100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215034,11,0,5,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,900,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215054,19,0,5,01,D,100,D,,A,3,D,,B,1994,D,,A,,A,,A,250,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215084,23,0,5,01,D,100,D,,A,3,D,,B,2009,D,,A,,A,,A,700,D,,A,,A,,A,,A,1,D,1,D,,A,,A,,A
20202,04215154,21,0,5,01,D,100,D,,A,3,D,,B,1995,D,,A,,A,,A,5700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215174,42,0,5,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,2300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215174,43,0,5,02,D,300,D,,A,3,D,,B,1996,D,,A,,A,,A,550,D,1,D,8,D,2,D,,A,,A,,A,,A,,A,1,D
20202,04215174,44,0,5,03,D,300,D,,A,1,D,,B,2013,D,,A,,A,,A,180,D,1,D,4,D,2,D,,A,,A,,A,,A,,A,1,D
20202,04215304,14,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215314,13,0,5,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215344,25,0,5,01,D,100,D,,A,3,D,,B,1990,D,,A,,A,,A,3500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215344,26,0,5,02,D,300,D,,A,3,D,,B,2015,D,,A,,A,,A,1200,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20202,04215354,26,0,5,01,D,100,D,,A,3,D,06,D,2018,D,,A,,A,,A,2800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215374,30,0,1,01,D,100,D,,A,3,D,01,F,2015,D,,A,,A,,A,2200,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215424,41,0,5,01,D,100,D,,A,3,D,,B,2005,D,,A,,A,,A,4200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215444,17,0,5,01,D,100,D,,A,3,D,,B,1995,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215474,10,0,1,01,D,100,D,,A,3,D,,B,2007,D,,A,,A,,A,4500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215484,9,0,5,01,D,100,D,,A,3,D,,B,2005,D,,A,,A,,A,580,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
