QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOD,PROP0NOD,OWNYD,OWNYD_,DISPMTHD,DISP_THD,DISPX,DISPX_,DISPEXPX,DISP_XPX,DISPMO,DISPMO_,DISPYR,DISPYR_
20202,04216764,47,0,1,02,D,200,D,1,D,257000,D,18484,D,03,D,2020,D
20202,04221824,14,0,1,02,D,200,D,1,D,380000,D,35000,D,02,D,2020,D
20202,04222484,22,0,1,02,D,300,D,1,D,329667,T,14000,D,02,D,2020,D
20202,04235394,38,0,1,05,D,400,D,1,D,,A,,A,04,D,2020,D
20202,04237854,16,0,1,01,D,300,D,1,D,4500,D,0,D,05,D,2020,D
20202,04239024,14,0,1,01,D,200,D,3,D,,A,,A,05,D,2020,D
20202,04270943,9,0,1,01,D,300,D,,C,,A,,A,01,D,2020,D
20202,04289473,20,0,2,02,D,300,D,1,D,329667,T,22000,D,03,D,2020,D
20202,04296503,37,0,1,05,D,400,D,1,D,53667,T,1500,D,04,D,2020,D
20202,04299303,12,0,1,02,D,200,D,3,D,,A,,A,04,D,2020,D
20202,04315334,33,0,1,02,D,200,D,1,D,,A,,A,01,D,2019,D
20202,04322752,45,0,1,05,D,200,D,3,D,,A,,A,03,D,2020,D
20202,04328342,26,0,1,03,D,400,D,3,D,,A,,A,02,D,2020,D
20202,04330912,26,0,1,02,D,200,D,1,D,239000,D,5800,F,04,D,2020,D
20202,04347112,11,0,1,01,D,300,D,1,D,17000,D,503,D,04,D,2020,D
20202,04351462,31,0,1,02,D,400,D,2,D,8000,D,4228,F,03,D,2020,D
20202,04384791,9,0,1,02,D,400,D,1,D,10500,D,0,D,01,D,2020,D
20202,04411451,34,0,1,02,D,400,D,1,D,53667,T,4228,D,04,D,2020,D
20203,04275894,36,0,1,02,D,200,D,1,D,1060000,T,128667,D,06,D,2020,D
20203,04288034,24,0,2,02,D,200,D,1,D,225000,D,24000,D,05,D,2020,D
20203,04290384,38,0,1,02,D,300,D,1,D,21149,D,0,D,07,D,2020,D
20203,04290384,39,0,1,03,D,300,D,1,D,30000,D,0,D,07,D,2020,D
20203,04290384,40,0,1,05,D,300,D,1,D,33543,D,0,D,07,D,2020,D
20203,04296504,32,0,1,04,D,400,D,1,D,53667,T,0,D,08,D,2020,D
