QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOH,PROP0NOH,OWNYH,OWNYH_,PAIDLOAN,PAID_OAN,PRIMPLUS,PRIM_LUS,JINTPDX,JINTPDX_,JLCPRINX,JLCP_INX,LOAN_NOH,LOAN0NOH,TOTOWED,TOTOWED_
20202,04215344,27,0,5,01,D,100,D,1,D,0.0475,D,106,D,494,D,01,D,8900,D
20202,04215804,21,0,5,01,D,100,D,2,D,0.0475,D,175,F,485,F,01,D,14726,F
20202,04215904,18,0,5,02,D,300,D,2,D,0.0475,D,629,F,949,F,01,D,53000,F
20202,04217494,18,0,5,01,D,100,D,1,D,0.0475,D,214,F,-64,F,01,D,18000,F
20202,04218224,26,0,5,01,D,100,D,1,D,0.0475,D,28,D,809,D,01,D,2391,D
20202,04218454,21,0,5,01,D,100,D,1,D,0.0475,D,178,D,422,D,01,D,15000,D
20202,04219394,20,0,5,01,D,100,D,2,D,0.0475,D,412,F,457,F,01,D,34665,F
20202,04221434,31,0,5,01,D,100,D,1,D,0.0475,D,412,D,457,D,01,D,34665,D
20202,04222484,25,0,5,02,D,300,D,2,D,0.0475,D,,A,,A,01,D,0,D
20202,04222924,16,0,5,01,D,100,D,2,D,0.0475,D,,A,,A,01,D,44900,D
20202,04224834,22,0,5,01,D,100,D,2,D,0.0475,D,,A,,A,01,D,46000,D
20202,04224934,21,0,5,01,D,100,D,1,D,0.0475,D,416,D,1617,D,01,D,35037,D
20202,04225874,14,0,5,01,D,100,D,1,D,0.0475,D,534,D,1566,D,01,D,45000,D
20202,04226054,29,0,5,01,D,100,D,1,D,0.0475,D,65,D,25,D,01,D,5500,D
20202,04226104,23,0,5,01,D,100,D,1,D,0.0475,D,677,D,1395,D,01,D,57000,D
20202,04226144,17,0,1,01,D,100,D,1,D,0.0475,D,594,D,906,D,01,D,50000,D
20202,04226524,20,0,5,01,D,100,D,1,D,0.0475,D,4750,D,650,D,01,D,450612,T
20202,04226624,20,0,5,01,D,100,D,2,D,0.0475,D,,A,,A,01,D,0,D
20202,04226804,20,0,5,01,D,100,D,1,D,0.0475,D,713,D,628,D,01,D,60000,D
20202,04227104,13,0,5,01,D,100,D,2,D,0.0475,D,691,F,815,F,01,D,58200,F
20202,04227304,28,0,5,01,D,100,D,1,D,0.0475,D,974,F,52,F,01,D,82000,F
20202,04227364,21,0,5,01,D,100,D,1,D,0.0475,D,166,D,14,D,01,D,14000,D
20202,04227934,24,0,5,02,D,300,D,1,D,0.0475,D,190,F,35,F,01,D,16000,F
20202,04228264,35,0,5,01,D,100,D,1,D,0.0475,D,115,F,335,F,01,D,9650,F
20202,04228354,32,0,5,01,D,100,D,1,D,0.0475,D,333,D,567,D,01,D,28000,D
20202,04228434,29,0,5,01,D,100,D,1,D,0.0475,D,2494,D,256,D,01,D,210000,D
20202,04228474,20,0,5,01,D,100,D,1,D,0.0475,D,974,D,52,D,01,D,82000,D
20202,04228904,32,0,5,01,D,100,D,2,D,0.0475,D,,A,,A,01,D,30000,D
20202,04229924,41,0,5,01,D,100,D,1,D,0.0475,D,416,D,676,D,01,D,35000,D
20202,04230274,31,0,5,01,D,100,D,1,D,0.0475,D,713,D,1627,D,01,D,60000,D
20202,04230814,36,0,5,01,D,100,D,1,D,0.0475,D,685,D,566,D,01,D,57700,D
20202,04231214,31,0,5,01,D,100,D,2,D,0.0475,D,,A,,A,01,D,92387,D
20202,04231334,30,0,5,01,D,100,D,2,D,0.0475,D,,A,,A,01,D,0,D
20202,04232134,23,0,5,01,D,100,D,1,D,0.0475,D,1188,D,-348,D,01,D,100000,D
20202,04232944,23,0,5,01,D,100,D,1,D,0.0475,D,119,D,2051,D,01,D,10000,D
20202,04233404,22,0,5,01,D,100,D,2,D,0.0475,D,,A,,A,01,D,0,D
20202,04234244,50,0,5,01,D,100,D,1,D,0.0475,D,950,D,-164,D,01,D,80000,D
20202,04234404,47,0,5,01,D,100,D,2,D,0.0475,D,,A,,A,01,D,0,D
20202,04234754,24,0,5,01,D,100,D,1,D,0.0475,D,175,D,485,D,01,D,14726,D
20202,04235444,21,0,5,01,D,100,D,1,D,0.0475,D,2197,D,608,D,01,D,185000,D
20202,04235504,27,0,5,01,D,100,D,1,D,0.0475,D,724,D,1151,D,01,D,61000,D
20202,04237644,24,0,5,01,D,100,D,1,D,0.0475,D,746,D,301,D,01,D,62810,D
20202,04237884,18,0,5,01,D,100,D,1,D,0.0475,D,100,F,614,F,01,D,8420,F
20202,04237914,35,0,5,03,D,300,D,2,D,0.0475,D,,A,,A,01,D,50000,D
20202,04238574,38,0,5,01,D,100,D,1,D,0.0475,D,48,D,252,D,01,D,4000,D
20202,04240094,21,0,5,01,D,100,D,1,D,0.0475,D,1247,D,-488,D,01,D,105000,D
20202,04240104,21,0,5,01,D,100,D,2,D,0.0475,D,,A,,A,01,D,20000,D
20202,04240564,27,0,5,01,D,100,D,1,D,0.0475,D,48,D,2052,D,01,D,4000,D
20202,04242374,28,0,5,01,D,100,D,1,D,0.0475,D,356,D,544,D,01,D,30000,D
20202,04242604,22,0,5,01,D,100,D,2,D,0.0475,D,,A,,A,01,D,18700,D
20202,04242644,35,0,5,01,D,100,D,1,D,0.0475,D,653,D,-203,D,01,D,55000,D
20202,04244464,46,0,5,01,D,100,D,2,D,0.0475,D,,A,,A,01,D,0,D
20202,04245504,65,0,5,01,D,100,D,2,D,0.0475,D,,A,,A,01,D,0,D
20202,04246124,30,0,5,01,D,100,D,2,D,0.0475,D,,A,,A,01,D,0,D
20202,04267203,57,0,5,01,D,100,D,2,D,0.0475,D,,A,,A,01,D,0,D
20202,04267353,36,0,5,01,D,100,D,1,D,0.0475,D,451,D,749,D,01,D,38000,D
20202,04267423,10,0,5,01,D,100,D,1,D,0.0475,D,926,D,874,D,01,D,78000,D
20202,04267793,37,0,5,02,D,200,D,2,D,0.0475,D,,A,,A,01,D,120000,D
20202,04269603,25,0,5,01,D,100,D,1,D,0.0475,D,190,D,410,D,01,D,16000,D
