QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,SAMP_UN,SAMP_UN_,RTELECT,RTELECT_,RTGAS,RTGAS_,RTWATER,RTWATER_,RTHEAT,RTHEAT_,RTTRASH,RTTRASH_,RTASPAY,RTASPAY_,RTCOMPX,RTCOMPX_,RTBSNSZ,RTBSNSZ_,JRTPAYQV,JRTP_YQV,QRT3MCMX,RTTELEPH,QRT3_CMX,RTTE_EPH,RTTVCABL,RTTV_ABL,RTINTRNT,RTIN_RNT,RTFUNSH,RTFUNSH_,GOVTCOST,GOVT_OST,INCLBDS,INCLBDS_,INCLDRYR,INCL_RYR,INCLFRIG,INCL_RIG,INCLPDS,INCLPDS_,INCLSTOV,INCL_TOV,INCLWSHR,INCL_SHR,PUBLHOUS,PUBL_OUS,OWNED,OWNED_,RTPARK,RTPARK_
20202,04214884,20,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2850,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04214894,3,0,1,1,D,1,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,78,2,D,D,2,D,2,D,2,D,1,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04214944,14,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,1257,2,D,D,2,D,2,D,2,D,1,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04214954,13,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,7500,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D
20202,04214964,13,0,1,1,D,2,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,3231,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20202,04214974,19,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,3135,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20202,04215144,21,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2100,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20202,04215194,7,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,3900,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04215214,15,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,7845,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04215264,8,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,2331,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,2,D,2,D,2,D
