QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_
20202,04214874,36,0,1,700,D,1,D,12,D,13,D
20202,04214874,37,0,1,330,D,1,D,9,D,13,D
20202,04214894,4,0,1,380,D,1,D,15,D,13,D
20202,04214954,14,0,1,830,D,1,D,14,D,13,D
20202,04214954,15,0,1,355,D,1,D,9,D,13,D
20202,04214954,16,0,2,210,D,1,D,100,D,01,D
20202,04214974,20,0,1,830,D,1,D,68,D,13,D
20202,04214974,21,0,1,500,D,1,D,100,D,01,D
20202,04214974,22,0,1,330,D,1,D,10,D,13,D
20202,04214974,23,0,1,370,D,1,D,100,D,01,D
20202,04214974,24,0,1,370,D,1,D,100,D,02,D
20202,04214974,25,0,1,370,D,1,D,100,D,03,D
20202,04214974,26,0,2,840,D,1,D,60,D,01,D
20202,04214974,27,0,2,520,D,1,D,50,D,01,D
20202,04214994,33,0,1,610,D,1,D,100,D,03,D
20202,04214994,34,0,1,610,D,1,D,200,D,01,D
20202,04214994,35,0,1,355,D,1,D,5,D,13,D
20202,04214994,36,0,1,370,D,1,D,60,D,01,D
20202,04215084,35,0,1,500,D,1,D,255,D,02,D
20202,04215084,36,0,1,210,D,1,D,20,D,03,D
20202,04215084,37,0,1,210,D,1,D,10,D,02,D
20202,04215084,38,0,1,330,D,1,D,15,D,13,D
20202,04215084,39,0,2,500,D,1,D,30,D,01,D
20202,04215084,40,0,2,400,D,1,D,5,D,01,D
20202,04215084,41,0,2,370,D,1,D,90,D,01,D
20202,04215084,42,0,2,410,D,1,D,80,D,01,D
20202,04215154,30,0,1,830,D,1,D,11,D,01,D
20202,04215154,31,0,1,830,D,1,D,11,D,02,D
20202,04215154,32,0,1,830,D,1,D,7,D,03,D
20202,04215154,33,0,2,160,D,1,D,2,D,01,D
20202,04215174,51,0,1,210,D,1,D,10,D,13,D
20202,04215174,52,0,1,500,D,1,D,270,D,01,D
20202,04215174,53,0,1,520,D,1,D,68,D,02,D
20202,04215194,8,0,1,210,D,1,D,10,D,13,D
20202,04215194,9,0,1,355,D,1,D,16,D,13,D
20202,04215214,16,0,1,830,D,1,D,220,D,01,D
20202,04215214,17,0,1,840,D,1,D,99,D,01,D
20202,04215284,9,0,1,530,D,1,D,110,D,01,D
20202,04215314,20,0,1,355,D,1,D,15,D,13,D
20202,04215314,21,0,1,355,D,1,D,13,D,13,D
20202,04215344,35,0,1,830,D,1,D,15,D,13,D
20202,04215344,36,0,1,820,D,1,D,198,D,03,D
20202,04215354,38,0,1,830,D,1,D,10,D,13,D
20202,04215354,39,0,1,610,D,1,D,250,D,02,D
20202,04215354,40,0,1,520,D,1,D,26,D,03,D
20202,04215354,41,0,1,500,D,1,D,337,D,01,D
20202,04215354,42,0,1,330,D,1,D,10,D,13,D
20202,04215374,34,0,1,600,D,1,D,1000,D,02,D
20202,04215374,35,0,1,310,D,1,D,200,D,01,D
20202,04215374,36,0,1,320,D,1,D,30,D,01,D
20202,04215374,37,0,1,355,D,1,D,15,D,13,D
20202,04215424,46,0,1,830,D,1,D,164,D,01,D
20202,04215424,47,0,1,800,D,1,D,22,D,13,D
20202,04215424,48,0,1,500,D,1,D,300,D,03,D
20202,04215424,49,0,1,520,D,1,D,13,D,01,D
20202,04215424,50,0,1,150,D,1,D,4,D,01,D
20202,04215424,51,0,1,150,D,1,D,4,D,02,D
20202,04215424,52,0,1,150,D,1,D,4,D,03,D
20202,04215424,53,0,1,150,D,1,D,16,D,01,D
20202,04215424,54,0,1,150,D,1,D,16,D,02,D
20202,04215424,55,0,1,150,D,1,D,16,D,03,D
20202,04215424,56,0,1,210,D,1,D,16,D,13,D
20202,04215424,57,0,1,355,D,1,D,14,D,13,D
20202,04215424,58,0,1,355,D,1,D,14,D,13,D
20202,04215424,59,0,1,355,D,1,D,122,D,02,D
20202,04215424,60,0,1,340,D,1,D,440,D,03,D
20202,04215544,37,0,1,840,D,1,D,6,D,01,D
20202,04215544,38,0,1,520,D,1,D,60,D,01,D
20202,04215544,39,0,1,500,D,1,D,300,D,01,D
20202,04215544,40,0,1,330,D,1,D,10,D,13,D
20202,04215544,41,0,1,355,D,1,D,10,D,13,D
20202,04215544,42,0,1,355,D,1,D,15,D,13,D
20202,04215544,43,0,2,840,D,1,D,7,D,01,D
20202,04215674,11,0,1,840,D,1,D,6,D,01,D
20202,04215674,12,0,1,840,D,1,D,6,D,02,D
20202,04215674,13,0,1,840,D,1,D,6,D,03,D
20202,04215764,25,0,1,520,D,1,D,8,D,01,D
20202,04215764,26,0,1,500,D,1,D,65,D,01,D
20202,04215794,21,0,1,355,D,1,D,14,D,13,D
20202,04215794,22,0,1,355,D,1,D,12,D,13,D
20202,04215794,23,0,1,355,D,1,D,6,D,13,D
20202,04215804,25,0,1,500,D,1,D,315,D,03,D
20202,04215824,19,0,1,150,D,1,D,54,D,03,D
20202,04215874,19,0,1,840,D,1,D,75,D,01,D
20202,04215874,20,0,1,310,D,1,D,100,D,02,D
20202,04215914,29,0,1,500,D,1,D,200,D,03,D
20202,04215914,30,0,1,210,D,1,D,15,D,13,D
20202,04215914,31,0,1,355,D,1,D,25,D,13,D
20202,04215924,15,0,1,355,D,1,D,15,D,13,D
20202,04215974,15,0,1,830,D,1,D,30,D,13,D
20202,04215994,9,0,1,520,D,1,D,12,D,01,D
20202,04215994,10,0,1,330,D,1,D,10,D,13,D
20202,04215994,11,0,1,355,D,1,D,8,D,13,D
20202,04216014,13,0,1,830,D,1,D,10,D,01,D
20202,04216014,14,0,1,830,D,1,D,10,D,02,D
20202,04216014,15,0,2,520,D,1,D,10,D,01,D
20202,04216064,22,0,1,830,D,1,D,11,D,13,D
20202,04216074,24,0,1,500,D,1,D,200,D,01,D
20202,04216074,25,0,1,310,D,1,D,67,D,02,D
20202,04216074,700,0,1,310,D,1,D,66,D,01,D
20202,04216074,701,0,1,310,D,1,D,67,D,03,D
20202,04216094,25,0,1,830,D,1,D,20,D,13,D
20202,04216104,24,0,1,840,D,1,D,14,D,02,D
20202,04216104,25,0,1,840,D,1,D,14,D,03,D
20202,04216104,26,0,1,355,D,1,D,107,D,13,D
20202,04216104,27,0,2,840,D,1,D,14,D,01,D
20202,04216114,29,0,1,520,D,1,D,20,D,01,D
20202,04216114,30,0,1,700,D,1,D,7,D,13,D
20202,04216164,5,0,1,160,D,1,D,3,D,01,D
20202,04216164,6,0,2,160,D,1,D,3,D,01,D
20202,04216174,21,0,1,840,D,1,D,100,D,01,D
20202,04216174,22,0,1,410,D,1,D,11,D,01,D
20202,04216174,23,0,1,410,D,1,D,11,D,02,D
20202,04216174,24,0,1,410,D,1,D,11,D,03,D
20202,04216174,25,0,2,410,D,1,D,11,D,01,D
20202,04216194,32,0,1,830,D,1,D,12,D,13,D
20202,04216194,33,0,1,840,D,1,D,110,F,01,D
20202,04216194,34,0,1,370,D,1,D,19,D,03,D
20202,04216204,25,0,1,610,D,1,D,300,D,02,D
20202,04216214,28,0,1,160,D,1,D,240,D,01,D
20202,04216214,29,0,1,150,D,1,D,20,D,03,D
20202,04216214,30,0,1,700,D,1,D,12,D,13,D
20202,04216244,20,0,1,355,D,1,D,14,D,13,D
20202,04216244,21,0,2,840,D,1,D,14,D,01,D
20202,04216294,16,0,1,830,D,1,D,15,D,13,D
20202,04216334,29,0,1,610,D,1,D,15,D,03,D
20202,04216384,10,0,1,610,D,1,D,240,D,01,D
20202,04216414,18,0,1,355,D,1,D,10,D,01,D
20202,04216414,19,0,2,520,D,1,D,40,D,01,D
20202,04216434,25,0,1,210,D,1,D,60,D,13,D
20202,04216464,23,0,1,610,D,1,D,200,D,01,D
20202,04216464,24,0,1,520,D,1,D,30,D,03,D
20202,04216464,25,0,1,330,D,1,D,20,D,13,D
20202,04216514,46,0,1,700,D,1,D,8,D,13,D
20202,04216604,27,0,1,800,D,1,D,300,D,13,D
20202,04216604,28,0,1,355,D,1,D,33,D,13,D
20202,04216744,37,0,1,840,D,1,D,10,D,01,D
20202,04216744,38,0,1,840,D,1,D,10,D,02,D
20202,04216744,39,0,1,840,D,1,D,10,D,03,D
20202,04216744,40,0,1,330,D,1,D,10,D,13,D
20202,04216744,41,0,1,355,D,1,D,15,D,13,D
20202,04216754,28,0,2,160,D,1,D,1,D,01,D
20202,04216764,57,0,1,520,D,1,D,39,D,01,D
20202,04216764,58,0,1,520,D,1,D,27,D,03,D
20202,04216764,59,0,1,210,D,1,D,15,D,13,D
20202,04216764,60,0,1,330,D,1,D,15,D,13,D
20202,04216764,61,0,1,355,D,1,D,15,D,13,D
20202,04216764,62,0,1,355,D,1,D,55,D,13,D
20202,04216764,63,0,1,355,D,1,D,10,D,13,D
20202,04216764,64,0,1,370,D,1,D,120,D,03,D
20202,04216764,65,0,1,400,D,1,D,246,D,01,D
20202,04216764,66,0,1,400,D,1,D,71,D,02,D
