QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMYUPD,NUMYUPD_,TOTYUPDX,TOTY_PDX,TOTYUPDY,TOTY_PDY
20202,04220234,45,0,1,2,D,,H,,A
20202,04220234,45,1,1,,A,56,E,100,D
20202,04220234,45,2,1,,A,20,E,110,D
20202,04220234,45,3,1,,A,43,E,210,D
20202,04220234,45,4,1,,A,81,E,220,D
20202,04220374,28,0,1,1,D,,H,,A
20202,04220374,28,1,1,,A,38,E,120,D
20202,04220374,28,2,1,,A,22,E,140,D
20202,04220374,28,3,1,,A,138,E,150,D
20202,04220374,28,4,1,,A,112,E,190,D
20202,04220374,28,5,1,,A,24,E,210,D
20202,04220374,28,6,1,,A,16,E,220,D
20202,04222364,26,0,1,1,D,,H,,A
20202,04222364,26,1,1,,A,110,E,100,D
20202,04222364,26,2,1,,A,10,E,110,D
20202,04223894,48,0,1,1,D,,H,,A
20202,04223894,48,1,1,,A,24,E,100,D
20202,04223894,48,2,1,,A,6,E,110,D
20202,04224434,17,0,1,1,D,,H,,A
20202,04224434,17,1,1,,A,25,E,100,D
20202,04224434,17,2,1,,A,2,E,110,D
20202,04224434,17,3,1,,A,73,E,130,D
20202,04226734,18,0,1,1,D,,H,,A
20202,04226734,18,1,1,,A,123,E,100,D
20202,04226734,18,2,1,,A,10,E,110,D
20202,04226734,18,3,1,,A,67,E,210,D
20202,04227154,12,0,1,1,D,,H,,A
20202,04227154,12,1,1,,A,165,E,100,D
20202,04227154,12,2,1,,A,35,E,110,D
20202,04228254,71,0,1,1,D,,H,,A
20202,04228254,71,1,1,,A,83,E,100,D
20202,04228254,71,2,1,,A,26,E,110,D
20202,04228254,71,3,1,,A,41,E,210,D
20202,04230714,27,0,1,1,D,,H,,A
20202,04230714,27,1,1,,A,137,E,100,D
20202,04230714,27,2,1,,A,30,E,110,D
20202,04230714,27,3,1,,A,18,E,210,D
20202,04230714,27,4,1,,A,15,E,220,D
20202,04237334,27,0,1,1,D,,H,,A
20202,04237334,27,1,1,,A,22,E,120,D
20202,04237334,27,2,1,,A,9,E,140,D
20202,04237334,27,3,1,,A,83,E,150,D
20202,04237334,27,4,1,,A,9,E,190,D
20202,04240274,33,0,1,2,D,,H,,A
20202,04240274,33,1,1,,A,111,E,100,D
20202,04240274,33,2,1,,A,53,E,110,D
20202,04240274,33,3,1,,A,23,E,120,D
20202,04240274,33,4,1,,A,112,E,130,D
20202,04240274,33,5,1,,A,310,E,150,D
20202,04240274,33,6,1,,A,91,E,190,D
20202,04241124,31,0,1,1,D,,H,,A
20202,04241124,31,1,1,,A,1693,E,100,D
20202,04241124,31,2,1,,A,555,E,110,D
20202,04241124,31,3,1,,A,344,E,120,D
20202,04241124,31,4,1,,A,2223,U,130,D
20202,04241124,31,5,1,,A,133,E,140,D
20202,04241124,31,6,1,,A,2767,E,150,D
20202,04241124,31,7,1,,A,27,E,170,D
20202,04241124,31,8,1,,A,1005,E,190,D
20202,04241944,13,0,1,1,D,,H,,A
20202,04241944,13,1,1,,A,67,E,100,D
20202,04241944,13,2,1,,A,14,E,110,D
20202,04241944,13,3,1,,A,16,E,120,D
20202,04241944,13,4,1,,A,3,E,140,D
20202,04241944,13,5,1,,A,66,E,150,D
20202,04241944,13,6,1,,A,34,E,190,D
20202,04243184,68,0,1,2,D,,H,,A
20202,04243184,68,1,1,,A,151,E,100,D
20202,04243184,68,2,1,,A,49,E,110,D
20202,04267823,41,0,1,1,D,,H,,A
20202,04267823,41,1,1,,A,104,E,100,D
20202,04267823,41,2,1,,A,34,E,110,D
20202,04267823,41,3,1,,A,21,E,120,D
20202,04267823,41,4,1,,A,149,E,130,D
20202,04267823,41,5,1,,A,8,E,140,D
20202,04267823,41,6,1,,A,170,E,150,D
20202,04267823,41,7,1,,A,1,E,170,D
20202,04267823,41,8,1,,A,61,E,190,D
20202,04267823,41,9,1,,A,52,E,210,D
20202,04269653,26,0,1,5,D,,H,,A
20202,04269653,26,1,1,,A,20,E,210,D
20202,04269653,26,2,1,,A,4,E,220,D
20202,04273333,32,0,1,1,D,,H,,A
20202,04273333,32,1,1,,A,5,E,100,D
20202,04273333,32,2,1,,A,5,E,110,D
20202,04273333,32,3,1,,A,2,E,120,D
20202,04273333,32,4,1,,A,29,E,150,D
20202,04273333,32,5,1,,A,5,E,180,D
20202,04273333,32,6,1,,A,4,E,190,D
20202,04274693,20,0,1,1,D,,H,,A
20202,04274693,20,1,1,,A,118,E,100,D
20202,04274693,20,2,1,,A,25,E,110,D
20202,04274693,20,3,1,,A,23,E,120,D
20202,04274693,20,4,1,,A,5,E,140,D
20202,04274693,20,5,1,,A,119,E,150,D
20202,04274693,20,6,1,,A,60,E,190,D
20202,04275193,30,0,1,1,D,,H,,A
20202,04275193,30,1,1,,A,193,E,100,D
20202,04275193,30,2,1,,A,40,E,110,D
20202,04275193,30,3,1,,A,26,E,210,D
20202,04275193,30,4,1,,A,21,E,220,D
20202,04276163,47,0,1,3,D,,H,,A
20202,04276163,47,1,1,,A,26,E,210,D
20202,04276163,47,2,1,,A,4,E,220,D
20202,04279633,34,0,1,1,D,,H,,A
20202,04279633,34,1,1,,A,46,E,210,D
20202,04279633,34,2,1,,A,9,E,220,D
20202,04280713,31,0,1,1,D,,H,,A
20202,04280713,31,1,1,,A,29,E,100,D
20202,04280713,31,2,1,,A,9,E,110,D
20202,04280713,31,3,1,,A,12,E,120,D
20202,04280713,31,4,1,,A,140,E,150,D
20202,04280713,31,5,1,,A,26,E,180,D
20202,04280713,31,6,1,,A,19,E,190,D
20202,04285433,47,0,1,2,D,,H,,A
20202,04285433,47,1,1,,A,194,E,100,D
