QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TRNONCUX,TRNO_CUX,TRNONCUY,TRNO_CUY
20202,04223554,31,0,1,,H,,A
20202,04223554,31,1,1,4,E,120,D
20202,04223554,31,2,1,39,E,150,D
20202,04223554,31,3,1,7,E,160,D
20202,04223554,31,4,1,5,E,190,D
20202,04227164,62,0,1,,H,,A
20202,04227164,62,1,1,36,E,120,D
20202,04227164,62,2,1,7,E,140,D
20202,04227164,62,3,1,233,E,150,D
20202,04227164,62,4,1,53,E,160,D
20202,04227164,62,5,1,23,E,170,D
20202,04227164,62,6,1,48,E,190,D
20202,04227944,50,0,1,,H,,A
20202,04227944,50,1,1,171,E,100,D
20202,04227944,50,2,1,41,E,110,D
20202,04227944,50,3,1,45,E,120,D
20202,04227944,50,4,1,321,E,130,D
20202,04227944,50,5,1,9,E,140,D
20202,04227944,50,6,1,396,E,150,D
20202,04227944,50,7,1,79,E,160,D
20202,04227944,50,8,1,58,E,190,D
20202,04242334,44,0,1,,H,,A
20202,04242334,44,1,1,504,E,120,D
20202,04242334,44,2,1,100,E,140,D
20202,04242334,44,3,1,4360,E,150,D
20202,04242334,44,4,1,886,E,160,D
20202,04242334,44,5,1,650,E,190,D
20202,04243064,23,0,1,,H,,A
20202,04243064,23,1,1,25,G,100,D
20202,04243064,23,2,1,12,G,110,D
20202,04243064,23,3,1,10,G,120,D
20202,04243064,23,4,1,1,G,140,D
20202,04243064,23,5,1,94,G,150,D
20202,04243064,23,6,1,4,G,170,D
20202,04243064,23,7,1,119,G,180,D
20202,04243064,23,8,1,20,G,190,D
20202,04244884,49,0,1,,H,,A
20202,04244884,49,1,1,72,E,100,D
20202,04244884,49,2,1,28,E,110,D
20202,04267323,17,0,1,,H,,A
20202,04267323,17,1,1,170,E,100,D
20202,04267323,17,2,1,38,E,110,D
20202,04267323,17,3,1,83,E,120,D
20202,04267323,17,4,1,299,E,130,D
20202,04267323,17,5,1,10,E,140,D
20202,04267323,17,6,1,486,E,150,D
20202,04267323,17,7,1,16,E,160,D
20202,04267323,17,8,1,7,E,170,D
20202,04267323,17,9,1,56,E,190,D
20202,04267323,17,10,1,235,E,210,D
20202,04270953,44,0,1,,H,,A
20202,04270953,44,1,1,37,E,120,D
20202,04270953,44,2,1,7,E,140,D
20202,04270953,44,3,1,323,E,150,D
20202,04270953,44,4,1,65,E,160,D
20202,04270953,44,5,1,48,E,190,D
20202,04271613,34,0,1,,H,,A
20202,04271613,34,1,1,21,E,100,D
20202,04271613,34,2,1,4,E,110,D
20202,04279693,45,0,1,,H,,A
20202,04279693,45,1,1,61,E,100,D
20202,04279693,45,2,1,14,E,110,D
20202,04279693,45,3,1,16,E,120,D
20202,04279693,45,4,1,3,E,140,D
20202,04279693,45,5,1,143,E,150,D
20202,04279693,45,6,1,28,E,160,D
20202,04279693,45,7,1,20,E,190,D
20202,04281553,11,0,1,,H,,A
20202,04281553,11,1,1,676,E,100,D
20202,04281553,11,2,1,232,E,110,D
20202,04281553,11,3,1,268,E,120,D
20202,04281553,11,4,1,1137,E,130,D
20202,04281553,11,5,1,44,E,140,D
20202,04281553,11,6,1,2476,E,150,D
20202,04281553,11,7,1,118,E,170,D
20202,04281553,11,8,1,3136,E,180,D
20202,04281553,11,9,1,537,E,190,D
20202,04281553,11,10,1,518,E,210,D
20202,04281553,11,11,1,358,E,220,D
20202,04283833,60,0,1,,H,,A
20202,04283833,60,1,1,9,E,120,D
20202,04283833,60,2,1,67,E,130,D
20202,04283833,60,3,1,1,E,140,D
20202,04283833,60,4,1,85,E,150,D
20202,04283833,60,5,1,16,E,160,D
20202,04283833,60,6,1,12,E,190,D
20202,04293513,26,0,1,,H,,A
20202,04293513,26,1,1,10,E,120,D
20202,04293513,26,2,1,2,E,140,D
