QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMLOC,NUMLOC_,LOCLODGX,LOCL_DGX,ALCMEALX,ALCM_ALX,ALCGROCX,ALCG_OCX,LOCADMSX,LOCA_MSX,FOODLCDL,FOOD_CDL,LODGLCDL,LODG_CDL,ENTRLCDL,ENTR_CDL,ELSELCDL,ELSE_CDL,QLCMLAX,QLCMLAX_,QLCGLAX,QLCGLAX_
20202,04216464,27,0,1,8,D,,A,,A,,A,20,D,,A,,A,,A,,A,100,D,,A
20202,04217354,34,0,1,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20202,04217844,33,0,1,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20202,04217844,34,0,1,2,D,425,G,,A,,A,125,G,2,D,1,D,1,D,1,D,158,D,,A
20202,04222464,22,0,1,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04242424,22,0,1,2,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,150,D
20202,04245904,38,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20202,04269703,13,0,1,2,D,107,G,10,G,5,G,186,G,,A,,A,,A,,A,180,G,12,G
20202,04274903,45,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04274903,46,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04274903,47,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04275473,28,0,1,4,D,,A,300,D,,A,,A,,A,,A,,A,,A,200,D,100,D
20202,04275673,9,0,1,2,D,,A,5,G,4,G,,A,,A,,A,,A,,A,24,G,17,G
20202,04275693,29,0,1,18,D,,A,100,D,,A,,A,,A,,A,,A,,A,100,D,,A
20202,04280703,29,0,1,14,D,,A,,A,,A,,A,,A,,A,,A,,A,98,D,,A
20202,04298793,25,0,1,1,D,68,D,,A,,A,,A,,A,,A,,A,,A,18,D,,A
20202,04311872,30,0,1,1,D,750,D,,A,10,D,,A,,A,,A,,A,,A,,A,140,D
20202,04311872,31,0,1,1,D,150,D,20,D,,A,,A,,A,,A,,A,,A,580,D,,A
20202,04315592,30,0,1,1,D,123,D,,A,,A,,A,,A,,A,,A,,A,75,D,,A
20202,04318942,49,0,1,1,D,,A,,A,,A,,A,,A,,A,,A,,A,330,D,74,D
20202,04318942,50,0,1,1,D,,A,,A,,A,,A,,A,,A,,A,,A,110,D,55,D
20202,04323912,40,0,1,2,D,,A,,A,,A,,A,,A,,A,,A,,A,50,F,58,D
20202,04323912,41,0,1,3,D,,A,,A,,A,,A,,A,,A,,A,,A,50,D,18,D
20202,04324492,37,0,1,6,D,1200,D,40,D,,A,,A,,A,,A,,A,,A,1760,D,,A
20202,04325912,64,0,1,2,D,220,D,,A,10,F,35,D,,A,,A,,A,,A,100,D,140,F
20202,04328432,19,0,1,20,D,1800,D,,A,,A,,A,,A,,A,,A,,A,500,D,,A
20202,04346612,39,0,1,2,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04349542,37,0,1,1,D,130,D,,A,,A,,A,,A,,A,,A,,A,40,D,20,D
20202,04351252,35,0,1,2,D,207,G,,A,,A,60,G,2,D,1,D,1,D,2,D,15,D,,A
20202,04379521,57,0,1,1,D,100,D,,A,25,D,130,D,,A,,A,,A,,A,50,D,0,D
20202,04381783,12,0,1,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D
20202,04383741,37,0,1,2,D,240,D,,A,,A,140,D,,A,,A,,A,,A,100,D,,A
20202,04386872,58,0,1,2,D,350,D,100,D,,A,,A,,A,,A,,A,,A,200,D,,A
20202,04388461,46,0,1,1,D,220,D,,A,,A,,A,,A,,A,,A,,A,150,D,,A
20202,04391351,32,0,1,2,D,300,D,,A,,A,,A,,A,,A,,A,,A,35,D,,A
20202,04391593,29,0,1,2,D,290,G,334,G,,A,,A,1,D,1,D,2,D,2,D,293,G,,A
20202,04418271,44,0,1,1,D,250,D,150,D,,A,,A,,A,,A,,A,,A,150,D,,A
20203,04269474,32,0,1,2,D,206,G,50,D,,A,194,G,2,D,1,D,1,D,1,D,250,D,,A
20203,04269694,41,0,1,2,D,444,D,,A,,A,27,D,,A,,A,,A,,A,301,D,,A
20203,04272184,53,0,1,2,D,350,D,20,D,,A,,A,,A,,A,,A,,A,200,D,,A
20203,04273004,33,0,1,1,D,390,G,,A,,A,,A,2,D,1,D,2,D,2,D,,A,,A
20203,04273154,25,0,1,2,D,314,D,,A,,A,,A,,A,,A,,A,,A,150,D,,A
20203,04273914,24,0,1,2,D,360,D,30,D,,A,,A,,A,,A,,A,,A,220,D,,A
20203,04275894,50,0,1,1,D,144,D,,A,,A,,A,,A,,A,,A,,A,,A,49,D
20203,04276444,21,0,1,3,D,,A,,A,,A,32,D,,A,,A,,A,,A,75,D,75,D
20203,04278724,42,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,50,D,100,D
20203,04278894,17,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20203,04287064,29,0,1,1,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20203,04288164,39,0,1,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20203,04293924,36,0,1,1,D,292,G,22,G,11,G,,A,,A,,A,,A,,A,55,G,120,G
20203,04315253,73,0,1,1,D,130,D,10,D,,A,,A,,A,,A,,A,,A,35,D,,A
20203,04324333,48,0,1,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,25,D
20203,04325433,57,0,1,14,D,1500,D,100,D,,A,,A,,A,,A,,A,,A,400,D,,A
20203,04329143,40,0,1,2,D,135,D,,A,,A,,A,,A,,A,,A,,A,60,D,,A
20203,04330043,28,0,1,2,D,340,D,27,D,,A,,A,,A,,A,,A,,A,33,D,,A
20203,04344693,31,0,1,1,D,,A,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20203,04346613,35,0,1,3,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20203,04347033,23,0,1,3,D,650,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20203,04348633,15,0,1,4,D,,A,,A,,A,,A,,A,,A,,A,,A,130,D,,A
20203,04379522,65,0,1,1,D,151,D,,A,,A,,A,,A,,A,,A,,A,36,D,,A
