QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,WHATPART,WHAT_ART,TRIPIDBC,TRIP_DBC,NUMSAME,NUMSAME_,EOTRIPMO,EOTR_PMO,NUMNIGHT,NUMN_GHT,FOODDEAL,FOOD_EAL,LODGDEAL,LODG_EAL,TRANDEAL,TRAN_EAL,ELSEDEAL,ELSE_EAL,CMLOCALY,CMLO_ALY,CMPLANEY,CMPL_NEY,CMTRAINY,CMTR_INY,CMBUSY,CMBUSY_,CMSHIPY,CMSHIPY_,RTCARY,RTCARY_,RTMOPEDY,RTMO_EDY,RTBOATY,RTBOATY_,RTCAMPY,RTCAMPY_,RTOTHERY,RTOT_ERY,PVCARY,PVCARY_,PVELSEY,PVELSEY_,PVTRANSY,PVTR_NSY,CMLOCALX,CMLO_ALX,CMPLANEX,CMPL_NEX,CMTRAINX,CMTR_INX,CMBUSX,CMBUSX_,CMSHIPX,CMSHIPX_,RTCARX,RTCARX_,RTMOPEDX,RTMO_EDX,RTBOATX,RTBOATX_,RTCAMPX,RTCAMPX_,RTOTHERX,RTOT_ERX,GASOILX,GASOILX_,TRPTOLLX,TRPT_LLX,PARKINGX,PARK_NGX,LDGCOSTX,LDGC_STX,TRPALCHX,TRPA_CHX,TRPALCGX,TRPA_CGX,TRPSPRTX,TRPS_RTX,TRPETRTX,TRPE_RTX,TRPGFTCX,TRPG_TCX,QTRFLAX,QTRFLAX_,QTRGLAX,QTRGLAX_
20202,04214994,37,0,1,1,D,1,D,1,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214994,38,0,1,1,D,2,D,1,D,02,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214994,39,0,1,1,D,3,D,1,D,03,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215154,34,0,1,1,D,2,D,1,D,02,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,90,D,,A,,A,,A,,A,,A,,A,,A,,A,120,D,,A
20202,04215154,35,0,2,2,D,2,D,1,D,01,D,8,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,06,D,,A,,A,,A,,A,,A,16,D,,A,,A,400,D,,A,,A,,A,0,D,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A,460,D,400,D,120,D
20202,04215174,54,0,1,1,D,5,D,1,D,02,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20202,04215174,55,0,1,1,D,6,D,1,D,03,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20202,04215174,56,0,1,1,D,7,D,1,D,03,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215314,22,0,1,1,D,1,D,1,D,03,D,2,D,,A,,A,,A,,A,01,D,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,530,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,250,D,20,D
20202,04215344,37,0,1,1,D,1,D,1,D,03,D,7,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,06,D,,A,,A,,A,,A,,A,16,D,,A,,A,150,D,,A,,A,,A,20,D,,A,,A,,A,,A,,A,15,D,,A,,A,200,D,,A,,A,,A,,A,200,D,100,D
20202,04215354,43,0,1,1,D,2,D,1,D,03,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,18,D,,A,,A,120,D,25,D,,A,,A,,A,,A,85,D,,A
20202,04215354,44,0,1,1,D,3,D,1,D,03,D,8,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,,A,63,D,40,D,138,D,,A
20202,04215374,38,0,1,1,D,1,D,6,D,01,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,45,D,15,D,,A,,A,,A,,A,75,D,,A,,A,50,D,,A
20202,04215424,61,0,1,1,D,4,D,1,D,03,D,4,D,,A,,A,,A,,A,01,D,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,16,D,,A,9,D,119,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,800,D,60,D,20,D,,A,,A,,A,140,D,30,D
20202,04215424,62,0,1,1,D,5,D,1,D,03,D,2,D,,A,,A,,A,,A,01,D,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,16,D,,A,18,D,378,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,168,D,30,D,,A,,A,,A,150,D,270,D,,A
20202,04215424,63,0,2,1,D,3,D,1,D,01,D,14,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,309,D,,A,,A,275,D,60,D,,A,,A,,A,,A,301,D,76,D
20202,04215764,27,0,1,1,D,2,D,1,D,02,D,11,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,16,D,,A,,A,195,D,,A,,A,,A,,A,,A,,A,,A,,A,50,D,,A,20,D,425,D,150,D,,A,125,D,,A,,A,650,D,25,D
20202,04215994,12,0,1,1,D,1,D,1,D,01,D,2,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,17,D,,A,290,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,100,D,,A
20202,04216074,26,0,1,1,D,1,D,2,D,02,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,,A,,A,100,D,,A,,A,,A,50,D,,A,300,D,40,D
20202,04216094,26,0,1,1,D,3,D,1,D,01,D,14,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,12,D,,A,,A,,A,,A,400,D,,A,,A,,A,,A,,A,,A,,A,250,D,40,D,,A,,A,,A,30,D,50,D,,A,,A,,A,120,D,100,D
20202,04216104,28,0,2,1,D,1,D,1,D,01,D,27,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,12,D,,A,,A,,A,,A,2500,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,250,D,250,D
20202,04216114,31,0,1,1,D,1,D,1,D,03,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,,A,40,D,250,D,,A,,A,,A,,A,,A,60,D,5,D
20202,04216414,20,0,2,1,D,1,D,1,D,01,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
