QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,INTAWAY,INTAWAY_,INTAWYX,INTAWYX_,PRPYCELL,PRPY_ELL,PRPYCLX,PRPYCLX_
20202,04214874,42,0,1,2,D,,A,2,D,,A
20202,04214884,25,0,1,2,D,,A,2,D,,A
20202,04214894,7,0,1,2,D,,A,2,D,,A
20202,04214944,18,0,1,2,D,,A,2,D,,A
20202,04214954,22,0,1,2,D,,A,2,D,,A
20202,04214964,16,0,1,2,D,,A,2,D,,A
20202,04214974,30,0,1,2,D,,A,2,D,,A
20202,04214994,44,0,1,2,D,,A,2,D,,A
20202,04215034,24,0,1,2,D,,A,2,D,,A
20202,04215054,30,0,1,2,D,,A,2,D,,A
20202,04215084,47,0,1,2,D,,A,2,D,,A
20202,04215144,26,0,1,2,D,,A,2,D,,A
20202,04215154,40,0,1,2,D,,A,2,D,,A
20202,04215174,60,0,1,2,D,,A,2,D,,A
20202,04215194,13,0,1,2,D,,A,2,D,,A
20202,04215214,23,0,1,2,D,,A,2,D,,A
20202,04215264,14,0,1,2,D,,A,2,D,,A
20202,04215284,12,0,1,2,D,,A,2,D,,A
20202,04215304,25,0,1,2,D,,A,2,D,,A
20202,04215314,28,0,1,2,D,,A,2,D,,A
20202,04215344,41,0,1,2,D,,A,2,D,,A
20202,04215354,50,0,1,2,D,,A,2,D,,A
20202,04215364,14,0,1,2,D,,A,2,D,,A
20202,04215374,43,0,1,2,D,,A,2,D,,A
20202,04215384,17,0,1,2,D,,A,2,D,,A
20202,04215414,14,0,1,2,D,,A,2,D,,A
20202,04215424,68,0,1,2,D,,A,2,D,,A
20202,04215444,33,0,1,2,D,,A,2,D,,A
20202,04215454,10,0,1,2,D,,A,2,D,,A
20202,04215474,20,0,1,2,D,,A,2,D,,A
20202,04215484,18,0,1,2,D,,A,2,D,,A
20202,04215494,17,0,1,2,D,,A,2,D,,A
20202,04215534,33,0,1,2,D,,A,2,D,,A
20202,04215544,47,0,1,2,D,,A,2,D,,A
20202,04215674,19,0,1,2,D,,A,2,D,,A
20202,04215724,30,0,1,2,D,,A,2,D,,A
20202,04215764,33,0,1,2,D,,A,2,D,,A
20202,04215794,28,0,1,2,D,,A,2,D,,A
20202,04215804,31,0,1,2,D,,A,2,D,,A
20202,04215814,16,0,1,2,D,,A,2,D,,A
20202,04215824,24,0,1,2,D,,A,2,D,,A
20202,04215874,23,0,1,2,D,,A,2,D,,A
20202,04215884,30,0,1,2,D,,A,2,D,,A
20202,04215904,32,0,1,2,D,,A,2,D,,A
20202,04215914,38,0,1,2,D,,A,2,D,,A
20202,04215924,23,0,1,2,D,,A,2,D,,A
20202,04215964,18,0,1,2,D,,A,2,D,,A
20202,04215974,19,0,1,2,D,,A,2,D,,A
20202,04215984,37,0,1,2,D,,A,2,D,,A
20202,04215994,15,0,1,2,D,,A,2,D,,A
20202,04216014,19,0,1,2,D,,A,2,D,,A
20202,04216064,26,0,1,2,D,,A,2,D,,A
20202,04216074,34,0,1,2,D,,A,2,D,,A
20202,04216084,17,0,1,2,D,,A,2,D,,A
20202,04216094,32,0,1,2,D,,A,2,D,,A
20202,04216104,33,0,1,2,D,,A,2,D,,A
20202,04216114,37,0,1,2,D,,A,2,D,,A
20202,04216164,10,0,1,2,D,,A,2,D,,A
20202,04216174,30,0,1,2,D,,A,2,D,,A
20202,04216194,41,0,1,2,D,,A,2,D,,A
20202,04216204,30,0,1,2,D,,A,2,D,,A
