QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20202,04214884,26,0,1,03,D,24,D,,A,24,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214954,23,0,1,01,D,3500,D,,A,,H,500,D,1,D,2,D,110,D,160,D,330,D,380,D,370,D,100,D,,A,,A,,A
20202,04214954,23,1,1,01,D,,B,,A,522,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214954,23,2,1,01,D,,B,,A,239,E,160,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214954,23,3,1,01,D,,B,,A,840,E,330,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214954,23,4,1,01,D,,B,,A,1186,E,380,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214954,23,5,1,01,D,,B,,A,583,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214954,23,6,1,01,D,,B,,A,130,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214974,31,0,1,03,D,20,D,,A,20,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214994,45,0,1,02,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
