QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20202,04214974,32,0,1,400,D,03,D,37,D,,A,,A,,A,,A
20202,04214994,49,0,1,430,D,01,D,,H,425,D,405,D,415,D,,A
20202,04214994,49,1,1,420,D,01,D,85,E,,A,,A,,A,,A
20202,04214994,50,0,1,430,D,02,D,,H,425,D,405,D,415,D,,A
20202,04214994,50,1,1,420,D,02,D,1000,E,,A,,A,,A,,A
20202,04215154,45,0,1,420,D,03,D,136,D,,A,,A,,A,,A
20202,04215214,27,0,1,420,D,03,D,131,D,,A,,A,,A,,A
20202,04215444,34,0,1,400,D,02,D,50,D,,A,,A,,A,,A
20202,04215804,32,0,1,400,D,03,D,31,D,,A,,A,,A,,A
20202,04215904,34,0,1,420,D,02,D,193,D,,A,,A,,A,,A
20202,04215964,19,0,1,420,D,02,D,138,F,,A,,A,,A,,A
20202,04216204,31,0,1,400,D,03,D,200,D,,A,,A,,A,,A
20202,04216294,21,0,1,400,D,02,D,26,F,,A,,A,,A,,A
20202,04216334,34,0,1,400,D,03,D,29,D,,A,,A,,A,,A
20202,04216414,26,0,1,405,D,01,D,800,D,,A,,A,,A,,A
20202,04216434,30,0,1,420,D,03,D,165,D,,A,,A,,A,,A
20202,04216744,48,0,1,420,D,02,D,300,D,,A,,A,,A,,A
20202,04216744,49,0,1,410,D,02,D,60,D,,A,,A,,A,,A
20202,04216754,36,0,1,420,D,02,D,72,D,,A,,A,,A,,A
20202,04216814,29,0,1,410,D,01,D,100,D,,A,,A,,A,,A
20202,04216814,30,0,2,400,D,01,D,25,D,,A,,A,,A,,A
20202,04216814,31,0,2,430,D,01,D,,H,415,D,410,D,,A,,A
20202,04216814,31,1,2,420,D,01,D,92,E,,A,,A,,A,,A
20202,04216814,31,2,2,410,D,01,D,8,E,,A,,A,,A,,A
20202,04216984,40,0,1,400,D,03,D,25,D,,A,,A,,A,,A
20202,04217014,38,0,2,420,D,01,D,72,D,,A,,A,,A,,A
20202,04217234,22,0,1,420,D,02,D,520,D,,A,,A,,A,,A
20202,04217264,51,0,1,420,D,02,D,300,D,,A,,A,,A,,A
20202,04217354,40,0,1,420,D,03,D,57,D,,A,,A,,A,,A
20202,04217374,37,0,1,400,D,02,D,48,D,,A,,A,,A,,A
20202,04217404,39,0,1,420,D,03,D,279,D,,A,,A,,A,,A
