QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JMKPURQV,JMKP_RQV,JNONFDQV,JNON_DQV,JOTHSTQV,JOTH_TQV,JDINEOQV,JDIN_OQV,JALOUTQV,JALO_TQV,JMLPAYQV,JMLP_YQV,JSCHMLQV,JSCH_LQV,JMKGRCQV,JMKG_CQV,JALHOMQV,JALH_MQV,CIGARETX,CIGA_ETX,JCIGARQV,JCIG_RQV,JOTBACQV,JOTB_CQV,OTHTBACX,OTHT_ACX
20202,04214874,44,0,1,2600,D,650,D,,A,2600,D,0,D,,A,,A,1950,D,60,D,50,D,650,D,,A,,A
20202,04214884,28,0,1,1300,D,65,D,,A,650,D,226,F,,A,,A,1235,D,195,D,,A,,A,,A,,A
20202,04214894,9,0,1,624,D,0,D,,A,0,D,0,D,,A,,A,624,D,0,D,,A,,A,,A,,A
20202,04214944,20,0,1,260,D,65,D,,A,78,D,0,D,52,D,,A,195,D,0,D,,A,,A,,A,,A
20202,04214954,25,0,1,10400,D,6500,D,,A,1300,D,0,D,,A,,A,3900,D,0,D,,A,,A,,A,,A
20202,04214964,18,0,1,520,D,368,F,,A,390,D,0,D,,A,,A,1349,F,120,D,,A,,A,,A,,A
20202,04214974,34,0,1,1300,D,195,D,,A,390,D,0,D,,A,,A,1105,D,60,D,,A,,A,,A,,A
20202,04214994,52,0,1,1950,D,650,D,650,D,130,D,300,D,,A,,A,1300,D,600,D,,A,,A,,A,,A
20202,04215034,28,0,1,1950,D,260,D,,A,0,D,0,D,,A,,A,1690,D,0,D,,A,,A,,A,,A
20202,04215054,33,0,1,650,D,325,D,390,D,390,D,0,D,,A,,A,325,D,0,D,,A,,A,,A,,A
20202,04215084,50,0,1,1950,D,0,D,,A,325,D,0,D,,A,,A,1950,D,90,D,,A,,A,,A,,A
20202,04215144,31,0,1,260,D,65,D,,A,130,D,92,F,,A,,A,195,D,60,D,,A,,A,,A,,A
20202,04215154,47,0,1,1625,D,130,D,,A,325,D,0,D,,A,,A,1495,D,0,D,,A,,A,,A,,A
20202,04215174,64,0,1,1300,D,260,D,,A,2600,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20202,04215194,15,0,1,1300,D,520,D,,A,780,D,75,D,,A,,A,780,D,300,D,10,D,130,D,,A,,A
20202,04215214,29,0,1,3900,D,1300,D,,A,286,D,0,D,,A,,A,2600,D,180,D,20,D,260,D,,A,,A
20202,04215264,16,0,1,1300,D,130,D,375,F,0,D,0,D,,A,,A,1170,D,0,D,,A,,A,,A,,A
20202,04215284,14,0,1,1300,D,390,D,260,D,260,D,60,D,,A,,A,910,D,90,D,,A,,A,,A,,A
20202,04215304,28,0,1,2600,D,650,D,,A,1560,D,0,D,,A,,A,1950,D,0,D,,A,,A,,A,,A
20202,04215314,31,0,1,520,D,195,D,,A,260,D,0,D,,A,,A,325,D,0,D,,A,,A,,A,,A
20202,04215344,44,0,1,845,D,325,D,195,D,260,D,300,D,,A,,A,520,D,300,D,,A,,A,,A,,A
20202,04215354,54,0,1,650,D,130,D,,A,1040,D,90,D,,A,,A,520,D,120,D,,A,,A,,A,,A
20202,04215364,16,0,1,650,D,104,D,,A,130,D,0,D,,A,,A,546,D,0,D,,A,,A,,A,,A
20202,04215374,46,0,1,2600,D,650,D,,A,3250,D,150,D,,A,70,D,1950,D,0,D,,A,,A,,A,,A
20202,04215384,20,0,1,1300,D,195,D,,A,208,D,0,D,,A,,A,1105,D,0,D,,A,,A,,A,,A
20202,04215414,16,0,1,650,D,104,D,,A,0,D,0,D,,A,,A,546,D,60,D,,A,,A,,A,,A
20202,04215424,71,0,1,1950,D,325,D,,A,650,D,150,D,,A,,A,1625,D,60,D,,A,,A,,A,,A
20202,04215444,36,0,1,3900,D,650,D,,A,0,D,0,D,,A,,A,3250,D,450,D,,A,,A,,A,,A
20202,04215454,12,0,1,910,D,130,D,,A,195,D,0,D,,A,,A,780,D,0,D,,A,,A,,A,,A
20202,04215474,22,0,1,520,D,65,D,,A,0,D,0,D,,A,,A,455,D,0,D,,A,,A,,A,,A
20202,04215484,20,0,1,546,D,65,D,260,D,0,D,0,D,,A,,A,481,D,0,D,25,D,325,D,,A,,A
20202,04215494,20,0,1,3250,D,650,D,,A,0,D,0,D,,A,,A,2600,D,0,D,,A,,A,,A,,A
20202,04215534,35,0,1,1950,D,390,D,,A,130,D,0,D,,A,,A,1560,D,0,D,,A,,A,,A,,A
20202,04215544,50,0,1,975,D,455,D,,A,1300,D,150,D,,A,,A,520,D,150,D,,A,,A,,A,,A
20202,04215674,24,0,1,1300,D,260,D,325,D,195,D,0,D,,A,,A,1040,D,120,D,,A,,A,325,D,25,D
20202,04215724,33,0,1,650,D,156,D,,A,52,D,0,D,,A,,A,494,D,0,D,,A,,A,,A,,A
20202,04215764,39,0,1,1300,D,195,D,,A,325,D,0,D,,A,,A,1105,D,60,D,,A,,A,,A,,A
20202,04215794,31,0,1,650,D,390,D,325,D,78,D,0,D,,A,,A,260,D,585,D,,A,,A,,A,,A
20202,04215804,34,0,1,975,D,130,D,,A,390,D,0,D,,A,,A,845,D,0,D,,A,,A,,A,,A
20202,04215814,18,0,1,0,D,,A,,A,0,D,125,F,,A,,A,0,D,177,F,,A,,A,,A,,A
20202,04215824,26,0,1,2600,D,260,D,,A,0,D,0,D,,A,,A,2340,D,0,D,,A,,A,,A,,A
20202,04215874,27,0,1,1300,D,130,D,260,D,520,D,0,D,,A,,A,1170,D,0,D,,A,,A,,A,,A
20202,04215884,33,0,1,1950,D,325,D,,A,780,D,0,D,,A,,A,1625,D,0,D,,A,,A,,A,,A
