QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,OTHLNDRX,OTHL_DRX,OTHDCLNX,OTHD_LNX,SAFDPSTX,SAFD_STX,TXLIMX,TXLIMX_,JLDRYNET,JLDR_NET,JDRYCNET,JDRY_NET,JBNKSCQV,JBNK_CQV,SALONX,SALONX_,JSUBSIDY,JSUB_IDY,WIGSX,WIGSX_,JAMTRAKX,JAMT_AKX,JTRANQV,JTRANQV_,LIMO,LIMO_
20202,04214874,45,0,1,,A,,A,,A,,A,,A,80,D,,A,200,D,,A,,A,,A,,A,,A
20202,04214884,29,0,1,,A,,A,33,D,,A,,A,,A,,A,80,D,,A,,A,,A,,A,,A
20202,04214894,10,0,1,,A,,A,,A,,A,5,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214944,21,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214954,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04214964,19,0,1,,A,,A,,A,,A,,A,,A,,A,44,D,,A,,A,,A,429,D,,A
20202,04214974,35,0,1,,A,,A,,A,55,D,50,D,,A,,A,250,D,,A,,A,,A,,A,,A
20202,04214994,53,0,1,,A,,A,,A,,A,,A,,A,,A,400,D,,A,,A,,A,,A,,A
20202,04215034,29,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215054,34,0,1,,A,,A,,A,,A,,A,,A,,A,18,D,,A,,A,,A,,A,,A
20202,04215084,51,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215144,32,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215154,48,0,1,,A,,A,,A,,A,,A,,A,,A,27,D,,A,,A,,A,,A,,A
20202,04215174,65,0,1,,A,,A,,A,,A,,A,,A,,A,64,D,,A,,A,,A,,A,,A
20202,04215194,16,0,1,,A,,A,,A,40,D,,A,,A,,A,,A,140,D,,A,,A,360,D,,A
20202,04215214,30,0,1,10,D,,A,,A,,A,80,D,,A,,A,300,D,,A,,A,,A,120,D,,A
20202,04215264,17,0,1,,A,,A,,A,180,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215284,15,0,1,,A,,A,,A,,A,30,D,10,D,,A,36,D,,A,,A,,A,,A,,A
20202,04215304,29,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215314,32,0,1,,A,,A,,A,,A,,A,,A,18,D,20,D,,A,,A,,A,,A,,A
20202,04215344,45,0,1,,A,,A,,A,,A,,A,,A,,A,15,D,,A,,A,,A,,A,,A
20202,04215354,55,0,1,,A,,A,,A,,A,,A,,A,,A,18,D,,A,,A,,A,,A,,A
20202,04215364,17,0,1,,A,,A,,A,,A,60,D,,A,,A,21,D,,A,,A,,A,,A,,A
20202,04215374,47,0,1,,A,,A,,A,,A,,A,225,D,,A,350,D,,A,,A,,A,,A,,A
20202,04215384,21,0,1,,A,,A,,A,,A,90,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215414,17,0,1,,A,,A,,A,110,D,36,D,,A,,A,50,D,,A,,A,,A,,A,,A
20202,04215424,72,0,1,,A,,A,,A,,A,,A,,A,,A,885,D,,A,,A,,A,,A,,A
20202,04215444,37,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215454,13,0,1,,A,,A,,A,,A,45,D,,A,36,D,,A,,A,,A,,A,381,D,,A
20202,04215474,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215484,21,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215494,21,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215534,36,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215544,51,0,1,,A,,A,,A,60,D,,A,,A,30,D,,A,,A,,A,,A,,A,2,D
20202,04215674,25,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215724,34,0,1,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A
20202,04215764,40,0,1,,A,,A,,A,,A,20,D,,A,,A,74,D,,A,,A,,A,,A,,A
20202,04215794,32,0,1,,A,,A,,A,,A,,A,,A,,A,45,D,,A,,A,,A,,A,,A
20202,04215804,35,0,1,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215814,19,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215824,27,0,1,,A,,A,,A,,A,,A,40,D,,A,50,D,,A,,A,,A,,A,,A
20202,04215874,28,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,15,D,,A,,A,270,D,,A
20202,04215884,34,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215904,37,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215914,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215924,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
