NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04378034,1,0,0,2020,2019,3,.15300,.15300,1,.12000,.12000,14,D,.04950,.04950,64000,D,0,D,0,D,0,D,0,D,0,D,14400,D,0,D,500,D,0,D,0,D,1,D,2,D,0,D,2201,2718,2201,2160,2718,2718,9792,9792,64000,64000,64000,62439,3000,3000,0,0,0,0,0,0,64000,64000,0,0,5201,5160,5201,5160,0,0,0,0,0,0,0,0,0,0,0
04378034,2,0,0,2020,2019,3,.00000,.00000,1,-.4000,-.4000,14,D,-.0720,-.0720,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1,D,2,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04378044,1,0,0,2020,2019,0,.00000,.00000,1,-.0765,-.0765,26,D,.00000,.00000,0,D,0,D,0,D,0,D,13386,D,0,D,2172,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12200,12098,0,0,0,0,0,0,0,0,0
04378144,1,45,0,2020,2019,1,.15300,.15300,1,.00000,.00000,21,D,.04750,.04750,15000,D,0,D,0,D,0,D,0,D,0,D,9600,D,0,D,10,D,0,D,0,D,1,D,1,D,0,D,-4926,-774,-4926,-5254,-774,-878,2295,2295,15000,15000,15000,14634,0,0,1400,1400,0,0,3526,3854,15000,15000,0,0,0,0,0,0,3000,3000,0,0,0,0,0,0,987,1053,0
04378174,1,35,0,2020,2019,3,.15300,.15300,2,.22000,.22000,39,D,.03070,.03070,130000,D,11000,D,0,D,0,D,0,D,0,D,0,D,5000,D,25,D,0,D,3,D,3,D,3,D,7564,D,11369,4329,11369,11144,4329,4329,21573,21573,141000,141000,141000,137561,6000,6000,0,0,0,0,0,0,141000,141000,0,0,17369,17144,17369,17144,0,0,0,0,0,0,0,0,0,0,0
04378194,1,0,0,2020,2019,0,.00000,.00000,1,-.0765,-.0765,0,T,.00000,.00000,0,D,0,D,0,D,0,D,20178,D,0,D,0,D,2900,D,360,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04378264,1,0,0,2020,2019,2,.02900,.02900,2,.24000,.24000,05,D,.09300,.09300,243189,D,0,D,0,D,0,D,0,D,0,D,0,D,6300,D,0,D,0,D,2,D,2,D,2,D,0,D,36858,15110,36858,36572,15110,14922,23532,24127,243189,243189,243189,237258,4000,4000,0,0,0,0,0,0,243189,243189,0,0,40858,40572,40858,40572,9074,9074,0,0,0,0,0,0,0,0,0
04378284,1,0,0,2020,2019,3,.00000,.00000,1,-.0765,-.0765,05,D,-.0639,-.0639,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1800,D,0,D,0,D,0,D,0,D,0,D,800,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9074,9074,2600,2537,0,0,0,0,0,0,0
04378284,2,0,0,2020,2019,3,.00000,.00000,1,-.0765,-.0765,05,D,-.0639,-.0639,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9074,9074,0,0,0,0,0,0,0,0,0
04378294,1,0,0,2020,2019,0,.15300,.15300,1,.22000,.22000,17,D,.05700,.05700,51575,D,0,D,0,D,0,D,0,D,0,D,7416,D,0,D,25,D,0,D,0,D,0,D,0,D,0,D,4995,2306,4995,4883,2306,2290,7891,7891,53731,53731,53731,52421,0,0,0,0,0,0,0,0,53731,53731,0,0,4995,4883,4995,4883,3000,3000,0,0,0,0,0,0,0,0,0
